"maszyna","asm_id","zespol","par_id","ilosc","name"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id23154",1,"Wibroizolator_DVA.4-40-20-M10-23-70"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id23157",1,"Wibroizolator_DVA.4-40-20-M10-23-70"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id23883",1,"Szafa_bazowa_AX_1054.000"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id23886",1,"DIN_985_M10_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id23892",1,"Sprzeglo_GE-T 38-45_SG__d1=40__d2=40"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24588",1,"Pokrywa_zamykajaca_ECY_208"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24591",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24827",1,"Tuleja_zaciskowa_RCK11_40x75"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24830",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24833",1,"Pokrywa_zamykajaca_ECY_208"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24836",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24839",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24842",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24845",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24848",1,"032P_00.00.00.001_Wal_napedowy"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24851",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24854",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id24857",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25490",1,"Motoreduktor_CHM_90_20_100_B14_B3_CHT_100_L_A4_2.20_Kw_230-400V-50Hz_2_CHT_MVS_DX_PC_SX"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25493",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25876",1,"032P_00.00.00.003_Kolo_lancuchowe_z_piasta_16B-2_z17"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25879",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25882",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25885",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25888",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25891",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25894",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25934",1,"032P_00.00.00.004_Tulejka_dociskowa_kola"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25937",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25940",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25943",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25946",1,"DIN_127_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25991",1,"DIN_912_M12x30_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id25997",1,"032P_05.00.00.000_Lancuch_16B-2x60_762"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26308",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26311",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26314",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26317",1,"DIN_912_M6x12_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26349",1,"DIN_9021_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26352",1,"DIN_9021_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26355",1,"DIN_125_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26358",1,"DIN_125_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26361",1,"DIN_127_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26364",1,"DIN_127_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26367",1,"DIN_934_M12_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26370",1,"DIN_934_M12_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26415",1,"DIN_912_M12x40_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26418",1,"DIN_912_M12x40_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26421",1,"DIN_9021_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26424",1,"DIN_9021_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26427",1,"DIN_912_M12x40_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26430",1,"DIN_125_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26433",1,"DIN_127_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26436",1,"DIN_934_M12_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26439",1,"DIN_912_M12x40_Zn_KL8.8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26442",1,"DIN_125_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26445",1,"DIN_127_M12_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26448",1,"DIN_934_M12_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26451",1,"DIN_934_M12_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26454",1,"DIN_934_M12_Zn_KL8"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26502",1,"DIN_912_M12x80_Zn_KL8.8_pelny_gwint"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26505",1,"DIN_912_M12x80_Zn_KL8.8_pelny_gwint"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26508",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26511",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26514",1,"DIN_127_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26517",1,"DIN_125_M6_Zn_HV200"
"032P","id5","032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy","id26520",1,"DIN_125_M6_Zn_HV200"
