,is_asm,machine,asm_name,name,biblioteka,par_per_asm
29,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M10_Zn_HV200,DIN_125_M10_Zn_HV200,1
30,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Wibroizolator_DVA.4-40-20-M10-23-70,Wibroizolator_DVA.4-40-20-M10-23-70,1
31,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_985_M10_Zn_KL8,DIN_985_M10_Zn_KL8,1
32,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M10_Zn_HV200,DIN_125_M10_Zn_HV200,1
33,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Wibroizolator_DVA.4-40-20-M10-23-70,Wibroizolator_DVA.4-40-20-M10-23-70,1
34,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_985_M10_Zn_KL8,DIN_985_M10_Zn_KL8,1
35,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M10_Zn_HV200,DIN_125_M10_Zn_HV200,1
36,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M10_Zn_HV200,DIN_125_M10_Zn_HV200,1
37,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_985_M10_Zn_KL8,DIN_985_M10_Zn_KL8,1
38,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_985_M10_Zn_KL8,DIN_985_M10_Zn_KL8,1
39,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M10_Zn_HV200,DIN_125_M10_Zn_HV200,1
40,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_985_M10_Zn_KL8,DIN_985_M10_Zn_KL8,1
41,1,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_04.00.00.000_Banda_boczna_stala,032P_04.00.00.000_Banda_boczna_stala,1
42,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Wibroizolator_DVA.4-40-20-M10-23-70,Wibroizolator_DVA.4-40-20-M10-23-70,1
43,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M10_Zn_HV200,DIN_125_M10_Zn_HV200,1
44,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Wibroizolator_DVA.4-40-20-M10-23-70,Wibroizolator_DVA.4-40-20-M10-23-70,1
45,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_985_M10_Zn_KL8,DIN_985_M10_Zn_KL8,1
46,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.005_Oslona_lancucha,032P_00.00.00.005_Oslona_lancucha,1
47,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Wibroizolator_DVA.4-40-20-M10-23-70,Wibroizolator_DVA.4-40-20-M10-23-70,1
48,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Wibroizolator_DVA.4-40-20-M10-23-70,Wibroizolator_DVA.4-40-20-M10-23-70,1
49,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Szafa_bazowa_AX_1054.000,Szafa_bazowa_AX_1054.000,1
50,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_985_M10_Zn_KL8,DIN_985_M10_Zn_KL8,1
51,1,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Sprzeglo_GE-T 38-45_SG__d1=40__d2=40,Sprzeglo_GE-T 38-45_SG__d1=40__d2=40,1
52,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Pokrywa_zamykajaca_ECY_208,Pokrywa_zamykajaca_ECY_208,1
53,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_127_M6_Zn_HV200,DIN_127_M6_Zn_HV200,1
54,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Tuleja_zaciskowa_RCK11_40x75,Tuleja_zaciskowa_RCK11_40x75,1
55,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,DIN_125_M6_Zn_HV200,DIN_125_M6_Zn_HV200,1
56,0,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,Pokrywa_zamykajaca_ECY_208,Pokrywa_zamykajaca_ECY_208,1
