,machine,name,is_asm
0,034P,034P_01.00.00.004_Ceownik_UPN100_3380,0
1,034P,034P_01.00.00.002_Ceownik_UPN100_100,0
2,034P,034P_01.00.00.001_Ceownik_UPN100_3380,0
3,034P,032P_01.01.00.011_Blacha_nogi,0
4,034P,032P_01.01.00.010_Zebro_UPN100,0
5,034P,034P_01.00.00.003_Ceownik_UPN100_465,0
6,034P,034P_02.00.00.001_Ceownik_UPN100_3128_oa_0,0
7,034P,034P_02.00.00.002_Ceownik_UPN100_3128,0
8,034P,"034P_02.00.00.007_Walek_18x83,4_M8",0
9,034P,034P_02.00.00.005_Blacha_oa_1,0
10,034P,034P_02.00.00.006_Blacha,0
11,034P,DIN_125_M16_Zn_HV200,0
12,034P,DIN_934_M16_Zn_KL8,0
13,034P,034P_03.01.00.001_Blacha,0
14,034P,034P_03.01.00.002_Blacha,0
15,034P,034P_03.01.00.005_Tuleja,0
16,034P,034P_03.01.00.003_Blacha,0
17,034P,034P_03.01.00.004_Blacha,0
18,034P,034P_05.05.00.001_Blacha,0
19,034P,034P_05.05.00.002_Blacha,0
20,034P,034P_05.05.00.003_Blacha,0
21,034P,DIN_6331_M8_CZ_KL10,0
22,034P,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,0
23,034P,DIN_7991_M8x35_Zn_KL8.8,0
24,034P,032P_01.03.00.001_ Blacha_8x150x50,0
25,034P,DIN_6331_M16_CZ_KL10,0
26,034P,032P_01.03.00.002_Pret_ M16x150_8.8,0
27,034P,DIN_127_M8_Zn_HV200,0
28,034P,DIN_125_M8_Zn_HV200,0
29,034P,DIN_933_M8x25_Zn_KL8.8,0
30,034P,DIN_985_M8_Zn_KL.8,0
31,034P,034P_05.04.00.001_Blacha,0
32,034P,034P_05.02.00.002_Blacha,0
33,034P,DIN_125_M10_Zn_HV200,0
34,034P,DIN_127_M10_Zn_HV200,0
35,034P,DIN_933_M8x35_Zn_KL8.8,0
36,034P,DIN_933_M10x30_Zn_KL8.8,0
37,034P,034P_05.02.00.001_Blacha,0
38,034P,"Motoreduktor_CHM_50_7,5_80_B14_B3_CHT_80_D4_1.10_Kw_230-400V-50Hz_4_CHT_MVS_SX_PC_DX",0
39,034P,DIN_934_M10_Zn_KL8,0
40,034P,DIN_934_M8_Zn_KL8,0
41,034P,034P_02.00.00.004_Blacha,0
42,034P,10B-1 Ogniwo A,0
43,034P,10B-1 Ogniwo B,0
44,034P,Przegub_widelkowy_GN 751-10-20-M10-SL,0
45,034P,034P_05.20.00.002_Blacha,0
46,034P,034P_05.20.00.001_Pret_gwintowany_M10,0
47,034P,034P_05.20.00.003_Blacha,0
48,034P,034P_05.03.00.001_Blacha,0
49,034P,Kolo_lancuchowe_z_piasta_SM_10B-1_z15_d25,0
50,034P,DIN_933_M10x55_Zn_KL8.8,0
51,034P,034P_06.01.00.001_Blacha,0
52,034P,034P_06.01.00.002_Blacha,0
53,034P,DIN_933_M10x25_Zn_KL8.8,0
54,034P,DIN_125_M12_Zn_HV200,0
55,034P,DIN_127_M12_Zn_HV200,0
56,034P,DIN_985_M12_Zn_KL8,0
57,034P,034P_05.08.00.001_Blacha,0
58,034P,034P_05.06.00.003_Katownik_z_g_30x30x3_S235JR,0
59,034P,034P_05.06.00.007_Blacha,0
60,034P,034P_05.06.00.004_Katownik_z_g_30x30x3_S235JR,0
61,034P,034P_05.06.00.002_Katownik_z_g_30x30x3_S235JR,0
62,034P,DIN_931_M12x90_Zn_KL8.8,0
63,034P,034P_05.06.00.001_Blacha,0
64,034P,034P_05.09.00.001_Blacha,0
65,034P,034P_05.09.00.002_Blacha,0
66,034P,DIN_933_M8x30_Zn_KL8.8,0
67,034P,034P_00.00.00.000_Przenosnik_rolkowy,1
68,034P,034P_01.00.00.000_Rama_A,1
69,034P,034P_02.00.00.000_Rama_B,1
70,034P,034P_03.01.00.000S_Slizg,1
71,034P,034P_05.05.00.000S_Banda_5,1
72,034P,032P_01.03.00.000_Stopka_M16x150,1
73,034P,034P_05.04.00.000S_Banda_4,1
74,034P,034P_05.02.00.000S_Banda_2,1
75,034P,"034P_00.00.00.001_Lancuch_10B-1x703,88",1
76,034P,034P_05.20.00.000_Odciag,1
77,034P,034P_05.20.00.000S_Odciag,1
78,034P,034P_05.03.00.000S_Banda_3,1
79,034P,"034P_00.00.00.002_Lancuch_10B-1x509,81",1
80,034P,034P_06.01.00.000_Oslona_1,1
81,034P,034P_06.01.00.000S_Oslona_1,1
82,034P,034P_05.08.00.000S_Banda_8,1
83,034P,034P_05.06.00.000S_Banda_6,1
84,034P,034P_05.09.00.000_Banda_9,1
85,034P,034P_05.09.00.000S_Banda_9,1
