,machine,name,is_asm
0,031P,Profil_aluminiowy_Kanya_40x80_C01-3_oa_0,0
1,031P,022P_00.00.00.008_Prowadnica,0
2,031P,022P_03.01.00.001_Wal,0
3,031P,022P_03.01.00.002_Blacha,0
4,031P,022P_03.01.00.003_Blacha,0
5,031P,022P_03.01.00.004_Blacha,0
6,031P,Zespol_lozyskowy_UCPA204,0
7,031P,Tuleja_spiekana_A_10x15x10,0
8,031P,022P_03.00.00.001_Blacha,0
9,031P,Czujnik_polozenia_W095411,0
10,031P,Mocowanie_czujnika_SMBR-8-25,0
11,031P,6059 LBN-20_25---(L),0
12,031P,"369456 BZ-08-025,0-AA (32)",0
13,031P,210028 8 SXN 08 VERZINKT_SL,0
14,031P,DIN_7984_M6x12_Zn_KL8.8,0
15,031P,Zawor_dlawiaco-zwrotny_GRLA-1_8-QS-6-D,0
16,031P,19219 DSNU-25-25-P---(A----0-ZR),0
17,031P,DIN-439-B - M22x1_5(F),0
18,031P,19219 DSNU-25-25-P---(A---00--0-KS),0
19,031P,DIN-439-B - M10x1_25(F),0
20,031P,"6144 SG-M10x1,25---(GK)",0
22,031P,200063 FKB-10X20,0
23,031P,022P_12.00.00.001_Blacha,0
24,031P,DIN_7991_M10x20_Zn_KL8.8,0
25,031P,Wkladka_gwintowana_M8_C32-85,0
26,031P,Profil_aluminiowy_Kanya_40x80_C01-3_oa_2,0
27,031P,Katownik_C30-02,0
28,031P,DIN_7984_M8x16_Zn_KL8.8,0
29,031P,Profil_40x40x3_S235JR_oa_3,0
30,031P,022P_13.02.00.001_Blacha,0
31,031P,022P_13.02.00.002_Blacha,0
32,031P,022P_01.11.00.001M_Blacha,0
33,031P,DIN_912_M8x20_Zn_KL8.8,0
34,031P,DIN_127_M8_Zn_HV200,0
35,031P,DIN_125_M8_Zn_HV200,0
36,031P,022P_01.02.00.001_Blacha,0
37,031P,DIN_7991_M8x18_Zn_KL8.8,0
38,031P,022P_01.10.00.001M_Blacha,0
39,031P,Tuleja_zaciskowa_BK13_30x55,0
40,031P,022P_09.00.00.001_Kolo_66_T10_32_2F_do_pasa_zebatego_50mm_(przerobka_022P),0
41,031P,022P_00.00.00.001_Wal,0
42,031P,022P_01.03.00.001M_Blacha,0
43,031P,022P_01.02.00.002M_Blacha,0
44,031P,022P_01.09.00.001_Blacha,0
45,031P,022P_01.00.00.001_Blacha,0
46,031P,022P_01.00.00.002_Blacha,0
47,031P,022P_01.00.00.003_Blacha,0
48,031P,022P_00.00.00.010_Prowadnica,0
49,031P,Hinges with screw-covers CFQ.50 SH-4-C9-1,0
50,031P,Hinges with screw-covers CFQ.50 CH-4-C9-2,0
51,031P,022P_05.01.00.002_Blacha,0
52,031P,022P_05.01.00.009_Podkladka,0
53,031P,022P_05.01.00.007_Blacha,0
54,031P,DIN_933_M6x25_Zn_KL8.8,0
55,031P,ISO_7380_2_M3x6_Zn_KL8.8,0
56,031P,DIN_985_M4_Zn_KL8,0
57,031P,DIN_7991_M4x12_Zn_KL8.8,0
58,031P,Podkladka_Schnorr_S5_Zn,0
59,031P,Czujnik_indukcyjny_e2b-s08ks02-mc-b1,0
60,031P,DIN_985_M5_Zn_KL8,0
61,031P,Sprezyna_dociskowa_12170,0
62,031P,DIN_7991_M5x25_Zn_KL8.8,0
63,031P,ISO_7380_1_M5x25_Zn_KL8.8,0
64,031P,ISO_7380_1_M5x12_Zn_KL8.8,0
65,031P,022P_05.01.00.005M_Blacha,0
66,031P,022P_05.01.00.001M_Blach,0
67,031P,022P_05.01.00.006M_Blacha,0
68,031P,022P_05.01.00.003M_Blacha,0
69,031P,022P_05.01.00.008M_Blacha,0
70,031P,022P_05.01.00.004M_Blacha,0
71,031P,ISO_7379-10-M8-16,0
72,031P,022P_05.00.00.007_Walek_prowadzacy_fi16_h6_(przerobka_022P),0
73,031P,DIN_912_M6x20_Zn_KL8.8,0
74,031P,DIN-439-B - M22x1.5x-A2-70(F),0
75,031P,683678 SBN-20_25---(R),0
76,031P,539927 SBN-20_25---(0LB),0
77,031P,022P_05.00.00.003_Blacha,0
78,031P,022P_05.00.00.006_Dystans,0
79,031P,DIN_127_M6_Zn_HV200,0
80,031P,DIN_125_M6_Zn_HV200,0
81,031P,Lozysko_liniowe_w_obudowie_SMAG16UU,0
82,031P,"Festo_9261 SGS-M10x1,25---(S_0_0_0)",0
84,031P,Wibroizolator_DVB.6-25-17-M6-18-40,0
85,031P,022P_05.00.00.008_Prowadnik_0_762m_B15i_015_048_0___1015_34P_A2_2,0
86,031P,19252 DSNU-25-250-PPV---(A----0-ZR),0
88,031P,19252 DSNU-25-250-PPV---(A---00--0-KS),0
90,031P,022P_05.00.00.004_Blacha,0
91,031P,Profil_aluminiowy_Kanya_40x40_C01-1_oa_5,0
92,031P,DIN_912_M5x20_Zn_KL8.8,0
93,031P,DIN_985_M6_Zn_KL8,0
94,031P,DIN_125_M5_Zn_HV200,0
95,031P,DIN_127_M5_Zn_HV200,0
96,031P,022P_05.00.00.009_Dystans,0
97,031P,DIN_912_M5x30_Zn_KL8.8,0
98,031P,022P_05.02.01.001_Blacha,0
99,031P,022P_05.02.01.002M_Blacha,0
100,031P,022P_05.02.01.003_Blacha,0
101,031P,022P_05.02.00.001M_Blacha,0
102,031P,DIN_7337_A_4x6_Al_Al,0
103,031P,022P_05.00.00.005_Blacha,0
104,031P,031P_01.01.00.001_Blacha,0
105,031P,031P_01.01.00.002_Blacha,0
106,031P,031P_01.01.00.003_Blacha,0
107,031P,DIN_912_M8x16_Zn_KL8.8,0
108,031P,Pierscien_osadczy_GN_705-30-E,0
109,031P,6006-2Z,0
110,031P,022P_08.00.00.002_Dystans,0
111,031P,DIN_472_W55_2_Zn,0
112,031P,022P_08.00.00.001_Kolo_66_T10_32_2F_do_pasa_zebatego_50mm_(przerobka_022P),0
113,031P,Zespol_lozyskowy_UCFL_205,0
114,031P,"Motoreduktor_CHM_50_7,5_80_B14_V6_CHT_80_D4_1.10_Kw_230-400V-50Hz_1_PC_DX",0
115,031P,022P_00.00.00.002_Wal,0
116,031P,"022P_00.00.00.004_Pas_zebaty_T10x50_H6,5_Twardy_PU_505Z_L=5050_Bez_Fazy",0
117,031P,Fotoprzekaznik_WL100-2P3439_(blacha),0
118,031P,031P_00.00.00.002_Pas_zebaty_T10x50_L=4820_482Z_Twarde_PU_PAZ_z_fazami,0
119,031P,031P_00.00.00.001_Pas_zebaty_T10x50_L=4820_482Z_Twarde_PU_PAZ_Bez_Faz,0
120,031P,022P_00.00.00.009_Slizg,0
121,031P,022P_00.00.00.013_Slizg,0
122,031P,Profil_aluminiowy_Kanya_40x40_C01-1_oa_6,0
123,031P,Katownik_usztywniajacy_40x40_304040,0
124,031P,DIN_7984_M8x18_Zn_KL8.8,0
125,031P,Profil_aluminiowy_Kanya_40x40_C01-1_oa_7,0
126,031P,022P_01.12.00.001_Blacha,0
127,031P,Stopa_wahliwa_LV.FO-60-14-M16x68,0
128,031P,DIN_125_M16_Zn_HV200,0
129,031P,DIN_439_M16_Zn,0
130,031P,DIN_127_M16_Zn_HV200,0
131,031P,022P_01.12.00.003_Pret_gwintowany_M8x130,0
132,031P,DIN_934_M8_Zn_KL8,0
133,031P,Profil_aluminiowy_Kanya_40x40_C01-1_oa_8,0
134,031P,022P_00.00.00.006_Blacha,0
135,031P,DIN_471_Z25x1.2_Zn,0
136,031P,DIN_9021_M10_Zn_HV200,0
137,031P,DIN_127_M10_Zn_HV200,0
138,031P,DIN_912_M8x25_Zn_KL8.8,0
139,031P,022P_00.00.00.007_Dystans,0
140,031P,031P_02.01.00.002_Mocowanie_regulacyjne,0
141,031P,031P_02.01.00.001_Blacha,0
142,031P,022P_13.01.00.003_Walek_regulacyjny,0
143,031P,DIN_7991_M6x20_Zn_KL8.8,0
144,031P,DIN_933_M10x25_Zn_KL8.8,0
145,031P,022P_02.04.01.001_Wal,0
146,031P,022P_02.04.01.002_Rolka,0
147,031P,6406_2RS,0
148,031P,DIN_471_Z30x1.5_Zn,0
149,031P,022P_02.04.00.001_Blacha,0
150,031P,DIN_6921_M10x20_KL8.8,0
151,031P,Podkladka_Schnorr_S8_Zn,0
152,031P,Profil_aluminiowy_Kanya_40x80_C01-3_oa_9,0
153,031P,AS 2-Base,0
154,031P,Boccola 12X14X15,0
155,031P,Colonnetta AS2 comm.,0
156,031P,Rondella 19.5X10.5X2 (SOTTO TESTA),0
