,mach_id,asm_id,asm_name,par_id,ile
70,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25885,1
71,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25888,1
72,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25891,1
73,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25894,1
74,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25934,1
75,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25937,1
76,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25940,1
77,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25943,1
78,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25946,1
79,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25991,1
80,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25997,1
81,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26308,1
82,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26311,1
83,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26314,1
84,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26317,1
85,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26349,1
86,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26352,1
87,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26355,1
88,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26358,1
89,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26361,1
90,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26364,1
91,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26367,1
92,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26370,1
93,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26415,1
94,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26418,1
95,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26421,1
96,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26424,1
97,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26427,1
98,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26430,1
99,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26433,1
100,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26436,1
101,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26439,1
102,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26442,1
103,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26445,1
104,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26448,1
105,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26451,1
106,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26454,1
107,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26502,1
108,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26505,1
109,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26508,1
110,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26511,1
111,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26514,1
112,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26517,1
113,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26520,1
114,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26523,1
115,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26526,1
116,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26529,1
117,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26532,1
118,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26535,1
119,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26538,1
120,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26541,1
121,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26544,1
122,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26547,1
123,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26550,1
124,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26553,1
125,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26556,1
126,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26559,1
127,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26562,1
128,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26565,1
129,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26568,1
130,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26571,1
131,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26574,1
132,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26577,1
133,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26580,1
134,032P,id13,032P_01.00.00.000_Modul_rolkowy,id19,1
135,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1198,1
136,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1201,1
137,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1204,1
138,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1207,1
139,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1210,1
140,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1213,1
141,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1216,1
142,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1219,1
143,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1222,1
144,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1228,1
145,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1844,1
146,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1847,1
147,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1850,1
148,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1853,1
149,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1856,1
150,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1859,1
151,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1862,1
152,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1865,1
153,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1868,1
154,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1871,1
155,032P,id13,032P_01.00.00.000_Modul_rolkowy,id1877,1
156,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2077,1
157,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2269,1
158,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2312,1
159,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2344,1
160,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2376,1
161,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2379,1
162,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2385,1
163,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2794,1
164,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2797,1
165,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2800,1
166,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2803,1
167,032P,id13,032P_01.00.00.000_Modul_rolkowy,id2910,1
168,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3017,1
169,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3124,1
170,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3231,1
171,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3341,1
172,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3721,1
173,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3724,1
174,032P,id13,032P_01.00.00.000_Modul_rolkowy,id3727,1
