,machine,name,is_asm
136,018I,Kolo_pasowe_47_AT10_Z40_do_pasa_zebatego_32mm(przerobka_002O_2),0
137,018I,011P_00.00.00.006_Dystans,0
138,018I,011P_00.00.00.007_Wal,0
139,018I,Zespół łożyskowy_SKF_UCF 205-oa0,0
140,018I,Zespół łożyskowy_SKF_UCF 205,0
141,018I,WASHER_SCHNOOR_M8,0
142,018I,KerbKonus 308000100110,0
143,018I,KerbKonus 308000080110,0
144,018I,Screw_DIN_912_M8x30,0
145,018I,018I_01.03.00.008_Ustawiak,0
146,018I,WASHER_SCHNORR_M8,0
147,018I,Screw_DIN_7984_M_8x25-10_9,0
148,018I,Heavy duty washer GN 6339-6_3-17-3-BT,0
149,018I,WASHER_SCHNORR_M6,0
150,018I,Screw_DIN_6912_M6x25,0
151,018I,SCREW_DIN_7984_8_8_m_8x20,0
152,018I,Pin_DIN_EN_28735_1992_A_8x25,0
153,018I,Screw_DIN_7984_M8x16,0
154,018I,Guard_ring_W_DIN_471_8x0.8_A,0
155,018I,HGW35HCZ0H_ZZX,0
156,018I,Heavy duty washer GN 6339-10_4-20-3-GO,0
157,018I,WASHER_SCHNORR_M10,0
158,018I,Screw_DIN_912_M10x40,0
159,018I,018I_01.03.00.006_Wspornik,0
160,018I,018I_01.03.00.004_Uchwyt_2,0
161,018I,AF0752_S3-P0401200402,0
162,018I,018I_01.03.00.005_Zderzak,0
163,018I,018I_01.03.00.003_Uchwyt_1,0
164,018I,018I_01.03.00.001_Plyta_Bazowa_P,0
165,018I,Pin_DIN_EN_28735_1992_A_10x35,0
166,018I,D02L18N22,0
167,018I,1FL6034-2AF21-1AH1,0
168,018I,Screw_DIN_912_M6x20,0
169,018I,018I_01.03.00.002_Plyta_v1,0
170,018I,Screw_DIN_912_M8x20,0
171,018I,WASHER_SCHNORR_M5,0
172,018I,Screw_DIN_7984_M5x16,0
173,018I,018I_01.03.00.007_Podkladka,0
174,018I,ADS-UF Zuführgerät komplett,0
175,018I,R067011040,0
176,018I,018I_01.05.00.001_Obudowa,0
177,018I,Screw_DIN_921_M3x4,0
178,018I,Pin_DIN_EN_28734_1992_B_4x24,0
179,018I,WASHER_SCHNORR_M4,0
180,018I,Screw_DIN_912_M4x16,0
181,018I,Washer_DIN_125_1_B_6.4,0
182,018I,018I_01.02.02.001_Wspornik_21,0
183,018I,018I_01.02.02.002_Wspornik_22,0
184,018I,018I_01.02.02.003_Wspornik_23,0
185,018I,Screw_DIN_7984_M5x10,0
186,018I,Screw_DIN_7984_M6x12,0
187,018I,SCREW_DIN_7984_M_6x16,0
188,018I,Pin_DIN_EN_28735_1992_B_6x18,0
189,018I,Key DIN 6885-5-5-28-A,0
190,018I,Nut_DIN_EN_28675_1992_M10x1.25,0
191,018I,W0950322001-12_,0
192,018I,W0950322025-20,0
193,018I,PSM-08020,0
194,018I,3201hr,0
195,018I,ELEKTRO_ISO_15552_CIL3710320070__(128)_BARREL,0
196,018I,320111110hf,0
197,018I,ELEKTRO_ISO_15552_CIL371032____184220_GEARBOX,0
198,018I,320170rod,0
199,018I,018I_01.02.01.001_Wspornik_11,0
200,018I,018I_01.02.01.002_Wspornik_12,0
201,018I,Screw_DIN_6912_M6x20,0
202,018I,KerbKonus 308000060110,0
203,018I,SCREW_DIN_7984_M_6x14,0
204,018I,1FL6032-2AF21-1AB1_3D_en,0
205,018I,HGL25CAZ0H_ZZX,0
206,018I,PIPE_1,0
207,018I,P1_1,0
208,018I,G2025,0
209,018I,018I_01.06.00.003_Kamień,0
210,018I,Screw_DIN_6912_M6x12,0
211,018I,E2B_S08LN02_MC_B1_CLAMPING_NUT,0
212,018I,E2B_S08LN02_MC_B1_BASE,0
213,018I,018I_02.14.00.001_Wspornik,0
214,018I,018I_01.07.01.001_Wspornik,0
215,018I,HL 28_15-WB-100_2,0
216,018I,Screw_DIN_7984_M5x12,0
217,018I,XS3F_M322_302_R,0
218,018I,018I_01.01.00.001_PLYTA,0
219,018I,KerbKonus 308000040110,0
220,018I,Screw_DIN_7984_M4x14,0
221,018I,Key DIN 6885-6-6-32-A,0
222,018I,Gehaeuse_MKS 2501A 19,0
223,018I,Luftfilter 5 7,0
224,018I,Deckel MKS 22,0
225,018I,Pin_DIN_EN_28735_1992_A_6x20,0
226,018I,KerbKonus 308000050160_M5Long,0
227,018I,Screw_DIN_7984_M4x10,0
228,018I,Screw_DIN_912_M4x12,0
229,018I,018I_01.01.00.004_OCZKO,0
230,018I,IFM_I7R207,0
231,018I,018I_01.01.00.003_WSPORNIK_2,0
232,018I,018I_01.01.01.001_WSPORNIK_31,0
233,018I,018I_01.01.01.002_WSPORNIK_32,0
234,018I,018I_01.01.01.003_WSPORNIK_33,0
235,018I,FilletWeld_3_oa_0,0
236,018I,FilletWeld_2_oa_1,0
237,018I,FilletWeld_1_oa_2,0
238,018I,5203001-BD,0
239,018I,5203001-BW,0
240,018I,5203001-DM,0
241,018I,2L01012,0
242,018I,9170301,0
243,018I,Washer_DIN_125_1_A_4.3,0
244,018I,018I_01.01.00.002_WSPORNIK_1,0
245,018I,HGW25CCZ0H_ZZX,0
246,018I,018I_01.01.00.006_WSPORNIK_4,0
247,018I,RBPS1000-A,0
248,018I,Nut_DIN_934_1987_M4,0
249,018I,Screw_DIN_7984_M4x25,0
250,018I,Nut_DIN_985_M4,0
251,018I,KerbKonus 308000050110,0
252,018I,Screw_DIN_7984_M6x14,0
253,018I,2023_06_07_10_24_43_0558_body1,0
254,018I,2023_06_07_10_24_43_0542_body1,0
255,018I,018I_01.01.00.005_TULEJA,0
256,018I,TS-35_7_5,0
257,018I,_0228BG18M6684_B,0
258,018I,_708203I0,0
259,018I,_708203V0,0
260,018I,_02282R2002,0
261,018I,_02282R2003,0
262,018I,_02282R2001,0
263,018I,2L01012_0,0
264,018I,W0970530053,0
265,018I,0226900100,0
266,018I,Key DIN 6885-4-4-25-A,0
267,018I,Pipes,0
268,018I,HL 28_15-WB-100,0
269,018I,018I_01.06.00.001_Wspornik,0
270,018I,018I_01.06.00.002_Wspornik,0
271,018I,DVA.6-20-24-M6-18-55,0
272,018I,Screw_DIN_EN_ISO_10642_2020_M4x10,0
273,018I,018I_01.08.00.007_Wspornik_5,0
274,018I,018I_01.08.00.006_Wspornik_4,0
275,018I,018I_01.08.00.005_Wspornik_3,0
276,018I,018I_01.08.00.004_Wspornik_2,0
277,018I,018I_01.08.00.003_Wspornik_1,0
278,018I,WASHER_SCHNOOR_M4,0
279,018I,Screw_DIN_6912_M4x30,0
280,018I,018I_01.08.00.002_Prowadnik_L,0
281,018I,ZS_ZSO 1,0
282,018I,"ANSI B18.5.2.1M - M6x1 x 16, RHSSNBM",0
283,018I,ISO 4161 - M6,0
284,018I,018I_01.08.00.001_Prowadnik_P,0
285,018I,Screw_DIN_EN_ISO_10642_2020_M4x14,0
286,018I,KDS_KDSO100H60_3,0
287,018I,018I_01.00.00.005_Przekladka,0
288,018I,P1_4,0
289,018I,P1_2,0
290,018I,P1_3,0
291,018I,018I_01.00.00.004_Zderzak_2,0
292,018I,018I_01.00.00.002_Wspornik,0
293,018I,Screw_DIN_912_M8x25,0
294,018I,018I_01.04.00.001_Plyta_Bazowa_L,0
295,018I,018I_01.04.00.002_Wspornik,0
296,018I,Screw_DIN_912_M6x16,0
297,018I,018I_01.09.01.001_Profil_BS_EN_10210_2006_300x150x8x3030,0
298,018I,018I_01.09.01.002_Listwa,0
299,018I,018I_01.09.01.003_Plyta_1,0
300,018I,018I_01.09.01.004_Plyta_2,0
301,018I,018I_01.09.01.007_Zaslepka,0
302,018I,018I_01.09.01.005_Zebro_1,0
303,018I,018I_01.09.01.006_Zebro_2,0
304,018I,Lifting point GN 589-100,0
305,018I,018I_01.09.02.001_PLYTA,0
306,018I,018I_01.09.02.002_OSLONA_,0
307,018I,FilletWeld_1_oa_3,0
308,018I,018I_01.09.03.001_PLYTA,0
309,018I,018I_01.09.03.002_OSLONA,0
310,018I,FilletWeld_1_oa_4,0
311,018I,HGR25R2700H_CTS,0
312,018I,Screw_DIN_912_M6x25,0
313,018I,018I_01.00.00.007_Wspornik,0
314,018I,018I_01.00.00.001_Plyta_1,0
315,018I,018I_01.00.00.006_R1000_010_00,0
316,018I,018I_01.00.00.003_Zderzak_1,0
317,018I,Heavy duty washer GN 6339-8_4-21-4-BT,0
318,018I,Zaslepka_599_F,0
319,018I,Halfen HL28_15-WB-200,0
320,018I,018I_02.13.01.001_Wspornik,0
321,018I,018I_02_13.00_001_Kamien,0
322,018I,E2B_S08LN04_MC_B2_CLAMPING_NUT,0
323,018I,E2B_S08LN04_MC_B2_BASE,0
324,018I,3SE52320HE10_PART1,0
325,018I,3SE52320HE10_PART2,0
326,018I,3SE52320HE10_PART3,0
327,018I,3SE52320HE10_PART4,0
328,018I,3SE52320HE10_PART5,0
329,018I,3SE52320HE10_PART6,0
330,018I,3SE52320HE10_PART7,0
331,018I,3SE52320HE10_PART8,0
332,018I,018I_02.13.00.004_Wspornik,0
333,018I,Washer_DIN_125_2_B_6.4,0
334,018I,018I_02.13.00.002_Kamien,0
335,018I,Screw_DIN_7984_M6x18,0
336,018I,Washer_DIN_125_2_A_4.3,0
337,018I,Screw_DIN_6912_M4x35,0
338,018I,DVA.6-35-40-M8-23-70,0
339,018I,018I_02.00.00.003_Wspornik,0
340,018I,Wibroizolator B-12__sruba_1,0
341,018I,018I_02.21.00.001_Nakladka,0
342,018I,Profil_80x80x5,0
343,018I,018I_02.21.01.004_Zaslepka_1,0
344,018I,018I_02.21.01.001_Plyta_1,0
345,018I,Profil_80x80x5_0,0
346,018I,018I_02.21.01.002_Plyta_2,0
347,018I,FilletWeld_3_oa_8,0
348,018I,018I_02.21.01.005_Zaslepka_2,0
349,018I,018I_02.21.01.007_Zaslepka_3,0
350,018I,018I_02.21.01.003_Zebro,0
351,018I,FilletWeld_4_oa_9,0
352,018I,018I_02.21.01.006_Zaslepka,0
353,018I,FilletWeld_5_oa_10,0
354,018I,FilletWeld_6_oa_11,0
355,018I,FilletWeld_8_oa_12,0
356,018I,FilletWeld_9_oa_13,0
357,018I,Heavy duty washer GN 6339-6_3-12-2_5-BT,0
358,018I,Heavy duty washer GN 6339-8_4-16-2_5-BT,0
359,018I,Screw_DIN_6912_M8x30,0
360,018I,HGR35R2125H_CTS,0
361,018I,018I_02.12.00.012_Plyta_2,0
362,018I,FilletWeld_1_oa_14,0
363,018I,Profil_80x80x5_1,0
364,018I,018I_02.12.00.011_Plyta_1,0
365,018I,575170 DFSP-50-30_g,0
366,018I,575170 DFSP-50-30-S_ks,0
367,018I,1405225 DAMF-F7-50 (p),0
368,018I,DIN-6912 - M8x25(F),0
369,018I,QSL-G1_8-6,0
370,018I,0206R200C10,0
371,018I,Nut_DIN_985_M5,0
372,018I,Screw_DIN_7984_M5x14,0
373,018I,018I_02.11.00.002_Listwa,0
374,018I,532319 DFM---40-50-B-P-A-KF-AJ---(ZR) 50,0
375,018I,532319 DFM-40-50-B-P-A-KF-AJ---(K),0
376,018I,150927 ZBH-9,0
377,018I,189653 ZBH-12,0
378,018I,173985 B-1_8-NPT,0
379,018I,018I_02.11.00.012_Plyta_1,0
380,018I,018I_02.11.00.013_Ucho_1,0
381,018I,018I_02.11.00.011_Os_1,0
382,018I,Pin_DIN_EN_28734_1992_B_5x22,0
383,018I,Guard_ring_W_DIN_471_12x1_B,0
384,018I,018I_02.11.00.004_Profil_UPN65_1000,0
385,018I,Lozysko_6701ZZ,0
386,018I,018I_02.11.00.023_Ucho_2,0
387,018I,Screw_DIN_EN_ISO_10642_2020_M6x14,0
388,018I,018I_02.11.00.021_Nasadka,0
389,018I,018I_02.11.00.022_Os_2,0
390,018I,018I_02.11.00.003_Obudowa,0
391,018I,SOV25SOS-c,0
392,018I,SOV25SOSOO-b,0
393,018I,PNV25SOS-com,0
394,018I,Washer ISO 8738 3,0
395,018I,Cylinder head screw DIN 912 M3x12,0
396,018I,W0215000101,0
397,018I,W0970510015,0
398,018I,W0970530052,0
399,018I,2L34007,0
400,018I,QSL-G1_8-6_0,0
401,018I,018I_02.11.00.001_Plyta_1,0
402,018I,Screw_DIN_912_M6x60,0
403,018I,018I_02.11.00.031_Plyta_2,0
404,018I,Profil_100x60x6,0
405,018I,Profil_100x60x6_0,0
406,018I,Profil_100x60x6_1,0
407,018I,Profil_60x60x4,0
408,018I,FilletWeld_7_oa_36,0
409,018I,018I_02.11.00.032_Plyta_3,0
410,018I,FilletWeld_3_oa_37,0
411,018I,FilletWeld_6_oa_38,0
412,018I,FilletWeld_2_oa_39,0
413,018I,534769 DFM---50-320-B-PPV-A-KF---(ZR) 300,0
414,018I,534769 DFM-50-300-B-PPV-A-KF---(K),0
415,018I,189653 ZBH-12_0,0
416,018I,174165 B-1_4-NPT,0
417,018I,153051_QSL-1_4-10,0
418,018I,Screw_DIN_912_M6x70,0
419,018I,018I_02.00.00.001_Plyta,0
420,018I,018I_02.00.00.002_Nakladka,0
421,018I,018I_02.00.00.004_Prowadnica,0
422,018I,Profil_40x40x3,0
423,018I,018I_02.17.00.001_Plyta_16,0
424,018I,018I_02.17.00.002_Zebro_1,0
425,018I,018I_02.17.00.004_Zaslepka_1,0
426,018I,Profil_40x40x3_0,0
427,018I,Profil_40x40x3_1,0
428,018I,Profil_40x40x3_2,0
429,018I,Profil_40x40x3_3,0
430,018I,FilletWeld_1_oa_45,0
431,018I,FilletWeld_4_oa_46,0
432,018I,FilletWeld_2_oa_47,0
433,018I,FilletWeld_3_oa_48,0
434,018I,Profil_40x40x3_4,0
435,018I,Profil_40x40x3_5,0
436,018I,018I_02.17.00.003_Zebro_2,0
437,018I,FilletWeld_1_oa_51,0
438,018I,FilletWeld_3_oa_52,0
439,018I,FilletWeld_2_oa_53,0
440,018I,Profil_40x40x3_6,0
441,018I,Profil_40x40x3_7,0
442,018I,FilletWeld_1_oa_56,0
443,018I,FilletWeld_4_oa_57,0
444,018I,Screw_DIN_912_M8x16,0
445,018I,018I_02.00.00.005_Prowadnica_2,0
446,018I,018I_02.10.03.002_Plyta_6,0
447,018I,018I_02.10.03.001_Plyta_5,0
448,018I,018I_02.10.03.004_Plyta_8,0
449,018I,018I_02.10.03.006_BS_EN_10210_2006_180x180x6,0
450,018I,018I_02.10.03.005_Plyta_9,0
451,018I,018I_02.10.03.003_Plyta_7,0
452,018I,FilletWeld_1_oa_58,0
453,018I,FilletWeld_1_oa_59,0
454,018I,018I_02.10.04.003_BS_EN_10210_2006_180x180x6,0
455,018I,018I_02.10.03.005_Lapa,0
456,018I,FilletWeld_3_oa_60,0
457,018I,FilletWeld_6_oa_61,0
458,018I,FilletWeld_7_oa_62,0
459,018I,FilletWeld_8_oa_63,0
460,018I,FilletWeld_1_oa_64,0
461,018I,FilletWeld_3_oa_65,0
462,018I,FilletWeld_6_oa_66,0
463,018I,FilletWeld_7_oa_67,0
464,018I,FilletWeld_8_oa_68,0
465,018I,018I_02.10.04.001_Plyta_12,0
