,machine,name,is_asm
0,032P,032P_01.01.00.002_Ceownik_UPN100_B,0
1,032P,032P_01.01.00.012_Ceownik_UPN100_C,0
2,032P,032P_01.01.00.003_Ceownik_UPN100_580,0
3,032P,032P_01.01.00.010_Zebro_UPN100,0
4,032P,032P_01.01.00.008_Katownik_gw_50x6_160,0
5,032P,032P_01.01.00.011_Blacha_nogi,0
6,032P,032P_01.01.00.006_Ceownik_UPN80_160,0
7,032P,032P_01.01.00.004_Ceownik_UPN80_840,0
8,032P,032P_01.01.00.007_Plaskownik,0
9,032P,032P_01.01.00.009_Plaskownik,0
10,032P,032P_01.01.00.016_Katownik_gw_40x4_1140,0
11,032P,032P_01.01.00.013_Ksztalownik_rolki,0
12,032P,032P_01.01.00.015_Ceownik_UPN100_50,0
13,032P,032P_01.01.00.005_Ceownik_UPN80_115,0
14,032P,032P_01.01.00.001_Ceownik_UPN100_A,0
15,032P,032P_01.01.00.017_Katownik_gw_40x4_825,0
16,032P,DIN_6331_M10_CZ_KL10,0
17,032P,032P_01.01.00.014_Wspornik_CHM_50,0
18,032P,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ,0
19,032P,032P_01.02.00.001_Ceownik_UPN100_A,0
20,032P,032P_01.02.00.002_Ceownik_UPN100_B,0
21,032P,032P_01.02.00.004_Ceownik_UPN100_C,0
22,032P,032P_01.02.00.003_Wspornik_CHM_50,0
23,032P,032P_01.02.00.006_Katownik_gw_40x4_170,0
24,032P,032P_01.02.00.005_Katownik_gw_40x4_770,0
25,032P,10B-1 Ogniwo A,0
26,032P,10B-1 Ogniwo B,0
27,032P,DIN_127_M8_Zn_HV200,0
28,032P,DIN_934_M12_Zn_KL8,0
29,032P,DIN_125_M12_Zn_HV200,0
30,032P,DIN_9021_M8_Zn_HV200,0
31,032P,Ogniwo korpusowe 10B-1_5,0
32,032P,Ogniwo zewnętrzne 10B-1_3,0
33,032P,DIN_933_M12x40_Zn_KL8.8,0
92,032P,DIN_125_M8_Zn_HV200,0
93,032P,DIN_127_M12_Zn_HV200,0
94,032P,DIN_934_M8_Zn_KL8,0
95,032P,DIN_933_M10x30_Zn_KL8.8,0
96,032P,Kolo_lancuchowe_z_piasta_SM_10B-1_z16_d25,0
97,032P,032P_01.00.00.001_Plaskownik_spinajacy,0
98,032P,DIN_127_M10_Zn_HV200,0
99,032P,DIN_125_M10_Zn_HV200,0
100,032P,032P_01.09.00.001_Mocowanie,0
101,032P,032P_01.09.01.001_Blacha_wspornika,0
102,032P,DIN_439_M6_Zn,0
103,032P,DIN_125_M6_Zn_HV200,0
104,032P,DIN_127_M6_Zn_HV200,0
105,032P,DIN_912_M6x16_Zn_KL8.8,0
106,032P,032P_01.09.00.002_Kostka,0
107,032P,DIN_912_M6x20_Zn_KL8.8,0
108,032P,"Motoreduktor_CHM_50_7,5_80_B14_V6_CHT_80_D4_1.10_Kw_230-400V-50Hz_1_CHT_MVS_DX_PC_SX",0
109,032P,DIN_933_M8x30_Zn_KL8.8,0
110,032P,"Pierścień osadczy Z-20 x 1,2 DIN 471",0
111,032P,Nakrętka M16 8.8 DIN 934,0
112,032P,"Podkładka spr. 16,2 DIN 127",0
113,032P,"Podkładka okr. 17,0 DIN 125",0
114,032P,Łożysko 6004-2Z,0
115,032P,20220203-4.02.01.04.02 Koło łańcuch. 2 x 10B-1 z=13,0
116,032P,20220203-4.02.01.04.01 Półośka koła łańcuch. 2x10B-1,0
117,032P,032P_01.03.00.001_ Blacha_8x150x50,0
118,032P,DIN_6331_M16_CZ_KL10,0
119,032P,032P_01.03.00.002_Pret_ M16x150_8.8,0
120,032P,DIN_125_M16_Zn_HV200,0
121,032P,DIN_934_M16_Zn_KL8,0
122,032P,032P_01.11.00.001_Polos_kola_nawrotnego,0
123,032P,Lozysko_6004-2Z,0
124,032P,032P_01.12.00.001_Kolo_lancuchowe_z_piasta_10B-1_z17,0
125,032P,DIN_471_Z20x1.2_Zn,0
126,032P,DIN_127_M16_Zn_HV200,0
127,032P,032P_01.04.00.001_Ksztaltownik_bandy,0
128,032P,032P_01.04.00.002_Katownik_45x45x4_120,0
129,032P,032P_01.04.00.003_Ceownik_polzamkniety_30x30x2_480,0
130,032P,032P_01.04.00.002M_Katownik_45x45x4_120,0
131,032P,032P_01.05.00.001_Ksztaltownik_bandy,0
132,032P,032P_01.05.00.002_Ceownik_polzamkniety_30x30x2_1100,0
133,032P,032P_01.00.00.002_Prowadnica_lancuchowa_10B-1_H15_2000_DIN8187,0
134,032P,DIN_933_M10x60_Zn_KL8.8,0
135,032P,DIN_9021_M10_Zn_HV200,0
136,032P,032P_01.11.00.002_Kolo_lancuchowe_z_piasta_10B-1_z15,0
137,032P,DIN_934_M10_Zn_KL8,0
138,032P,Rolka_5103-SV108x3.25-B20-IGM10x20-465-2600-ZZ,0
139,032P,032P_01.00.00.003_Prowadnica_lancuchowa_10B-1_H15_350_DIN8187,0
140,032P,032P_00.00.00.001_Wal_napedowy,0
141,032P,032P_02.01.00.001_Profil_100x80x4_2900,0
142,032P,032P_02.01.00.003_Blacha_zespolu_biernego,0
143,032P,032P_02.01.00.002_Blacha_UCFC_207,0
144,032P,032P_02.01.00.006_Katownik_gw_50x6_60,0
145,032P,032P_02.01.00.005_Blacha_wew,0
146,032P,032P_02.01.00.007_Profil_80x80x3_100,0
147,032P,032P_02.01.00.009_Plaskownik_30x8_350,0
148,032P,032P_02.01.00.008_Katownik_gw_50x6_55,0
149,032P,032P_02.01.00.008M_Katownik_gw_50x6_55,0
150,032P,032P_02.02.00.002_Kolo_lancuchowe_z_piasta_16B-1_z30,0
151,032P,Lozysko_6208-2Z,0
152,032P,032P_02.02.00.001_Os,0
153,032P,DIN_471_Z40x1.75_Zn,0
154,032P,032P_02.00.00.001_Kolo_lancuchowe_z_piasta_16B-1_z30,0
155,032P,DIN_7991_M8x30_Zn_KL8.8,0
156,032P,Tuleja_zaciskowa_BK_13_40x65,0
157,032P,DIN_434_M12_Zn_HV200,0
158,032P,DIN_7984_M6x16_Zn_KL8.8,0
159,032P,032P_02.00.00.002_Prowadnica_lancuchowa_16B-1_H15_DIN8187,0
160,032P,Zespol_lozyskowy_UCFC_208,0
161,032P,Podkladka_Schnorr_S6_Zn,0
162,032P,032P_02.00.00.004_Slizg,0
163,032P,DIN_912_M12x45_Zn_KL8.8,0
164,032P,032P_02.00.00.003_Kostka_napinajaca,0
165,032P,DIN_933_M12x150_Zn_KL8.8,0
166,032P,16B-1RD_ogniwo_A,0
167,032P,16B-1RD_ogniwo_B,0
168,032P,16B-1RD_ogniwo_L9,0
169,032P,032P_02.03.01.001_Zabierak,0
170,032P,DIN_985_M8_Zn_KL.8,0
171,032P,DIN_912_M8x40_Zn_KL8.8,0
172,032P,032P_03.01.00.001_Ceownik_UPN100_2330,0
173,032P,032P_03.01.00.001M_Ceownik_UPN100_2330,0
174,032P,032P_03.01.00.002_Ceownik_UPN80_1040,0
175,032P,DIN_6331_M12_CZ_KL10,0
176,032P,032P_03.01.00.003_Ceownik_UPN80_830,0
177,032P,032P_03.01.00.004_Ceownik_UPN50_400,0
178,032P,032P_03.02.00.001M_Ceownik_UPN100_3000,0
179,032P,032P_03.02.00.001_Ceownik_UPN100_3000,0
180,032P,DIN_434_M10_Zn_HV200,0
181,032P,DIN_912_M8x25_Zn_KL8.8,0
182,032P,032P_03.00.00.002_Katownik_gw_60x4_600,0
183,032P,DIN_933_M10x35_Zn_KL8.8,0
184,032P,032P_03.00.00.001_Katownik_gw_60x4_1140,0
185,032P,DIN_912_M6x12_Zn_KL8.8,0
186,032P,Wibroizolator_DVA.4-40-20-M10-23-70,0
187,032P,DIN_985_M10_Zn_KL8,0
188,032P,032P_00.00.00.006_Oslona_lancucha,0
189,032P,032P_00.00.00.002_Kolo_lancuchowe_z_piasta_16B-2_z17,0
190,032P,032P_04.01.00.003_Ceownik_UPN100_525,0
191,032P,032P_04.01.00.002_Ceownik_UPN100_120,0
192,032P,032P_04.01.00.001_Ceownik_UPN100_565,0
193,032P,032P_00.00.00.005_Oslona_lancucha,0
194,032P,Szafa_bazowa_AX_1054.000,0
195,032P,02538240_HUB_GE-T 38-45_SG__d1=40,0
196,032P,02538104_Wkladka_GE-T 38-45_SG,0
197,032P,Pokrywa_zamykajaca_ECY_208,0
198,032P,Tuleja_zaciskowa_RCK11_40x75,0
199,032P,Motoreduktor_CHM_90_20_100_B14_B3_CHT_100_L_A4_2.20_Kw_230-400V-50Hz_2_CHT_MVS_DX_PC_SX,0
200,032P,032P_00.00.00.003_Kolo_lancuchowe_z_piasta_16B-2_z17,0
201,032P,032P_00.00.00.004_Tulejka_dociskowa_kola,0
202,032P,DIN_912_M12x30_Zn_KL8.8,0
203,032P,16B-2 Ogniwo A,0
204,032P,16B-2 Ogniwo B,0
205,032P,DIN_9021_M12_Zn_HV200,0
206,032P,DIN_912_M12x40_Zn_KL8.8,0
207,032P,DIN_912_M12x80_Zn_KL8.8_pelny_gwint,0
208,032P,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,1
209,032P,032P_01.00.00.000_Modul_rolkowy,1
210,032P,032P_01.01.00.000_Rama_A,1
211,032P,032P_01.02.00.000_Rama_B,1
212,032P,"032P_01.06.00.000_Lancuch_10B-1x34_539,75",1
213,032P,"032P_01.07.00.000_Lancuch_10B-1x52_825,5",1
214,032P,"Łańcuch 10B-1 x 52 a=310 L=825,5",1
215,032P,"032P_01.08.00.000_Lancuch_10B-1x58_920,75",1
216,032P,032P_01.09.00.000_Wspornik czujnika,1
217,032P,032P_01.09.01.000_Wspornik,1
218,032P,20220203-4.02.01.04.00 Koło łańcuch. 2 x 10B-1 z=13,1
219,032P,032P_01.03.00.000_Stopka_M16x150,1
220,032P,032P_01.12.00.000_Kolo_lancuchowe_10B-1_z17_nawrotne,1
221,032P,032P_01.04.00.000_Banda_boczna_krotka,1
222,032P,"032P_01.10.00.000_Lancuch_10B-1x956_15176,5",1
223,032P,032P_01.05.00.000_Banda_boczna_dluga,1
224,032P,032P_01.11.00.000_Kolo_lancuchowe_10B-1_z15_nawrotne,1
225,032P,032P_02.00.00.000_Modul_lancuchowy,1
226,032P,032P_02.01.00.000_Profil_modulu_lanuch,1
227,032P,032P_02.02.00.000_Zespol_kola_biernego,1
228,032P,032P_02.03.00.000_Lancuch_z_zabierak_16B-1RDx280_7112,1
229,032P,032P_02.03.01.000_Ogniwo_z_zabierak,1
230,032P,032P_03.00.00.000_Podpora_modulu_lancuch,1
231,032P,032P_03.01.00.000_Rama_A,1
232,032P,032P_03.02.00.000_Rama_B,1
233,032P,032P_04.00.00.000_Banda_boczna_stala,1
234,032P,032P_04.01.00.000_Profil_bandy,1
235,032P,Sprzeglo_GE-T 38-45_SG__d1=40__d2=40,1
236,032P,032P_05.00.00.000_Lancuch_16B-2x60_762,1
