"maszyna","asm_id","zespol","par_id","ilosc","name","biblioteka"
"034P","id5","034P_00.00.00.000_Przenosnik_rolkowy_id5","id13",1,"034P_01.00.00.000_Rama_A","034P_01.00.00.000_Rama_A"
"034P","id5","034P_00.00.00.000_Przenosnik_rolkowy_id5","id514",1,"034P_02.00.00.000_Rama_B","034P_02.00.00.000_Rama_B"
"034P","id5","034P_00.00.00.000_Przenosnik_rolkowy_id5","id1104",1,"DIN_125_M16_Zn_HV200","DIN_125_M16_Zn_HV200"
"034P","id5","034P_00.00.00.000_Przenosnik_rolkowy_id5","id1151",1,"DIN_934_M16_Zn_KL8","DIN_934_M16_Zn_KL8"
"034P","id5","034P_00.00.00.000_Przenosnik_rolkowy_id5","id1154",1,"DIN_934_M16_Zn_KL8","DIN_934_M16_Zn_KL8"
"034P","id5","034P_00.00.00.000_Przenosnik_rolkowy_id5","id1157",1,"DIN_125_M16_Zn_HV200","DIN_125_M16_Zn_HV200"
"034P","id5","034P_00.00.00.000_Przenosnik_rolkowy_id5","id1163",1,"034P_03.01.00.000S_Slizg","034P_03.01.00.000S_Slizg"
"034P","id5","034P_00.00.00.000_Przenosnik_rolkowy_id5","id1322",1,"034P_05.05.00.000S_Banda_5","034P_05.05.00.000S_Banda_5"
"034P","id5","034P_00.00.00.000_Przenosnik_rolkowy_id5","id1512",1,"DIN_125_M16_Zn_HV200","DIN_125_M16_Zn_HV200"
"034P","id5","034P_00.00.00.000_Przenosnik_rolkowy_id5","id1515",1,"DIN_125_M16_Zn_HV200","DIN_125_M16_Zn_HV200"
"034P","id5","034P_00.00.00.000_Przenosnik_rolkowy_id5","id1518",1,"DIN_125_M16_Zn_HV200","DIN_125_M16_Zn_HV200"
"034P","id5","034P_00.00.00.000_Przenosnik_rolkowy_id5","id1773",1,"Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ","Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ"
