,name,id,ref,ref_name,ref_type,asm
94,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:14,id1819,id1519,x,x,x
95,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:15,id1822,id1519,x,x,x
96,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:16,id1825,id1519,x,x,x
97,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:17,id1828,id1519,x,x,x
98,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:18,id1831,id1519,x,x,x
99,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:19,id1834,id1519,x,x,x
100,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:20,id1837,id1519,x,x,x
101,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:21,id1840,id1519,x,x,x
102,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:22,id1843,id1519,x,x,x
103,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:23,id1846,id1519,x,x,x
104,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:24,id1849,id1519,x,x,x
105,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:25,id1852,id1519,x,x,x
106,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:26,id1855,id1519,x,x,x
107,Rolka_5103-SV80x2-SV20-IGM10x20-465-2600-ZZ.par:27,id1858,id1519,x,x,x
108,DIN_934_M16_Zn_KL8.par:3,id1861,id1105,x,x,x
109,DIN_934_M16_Zn_KL8.par:4,id1864,id1105,x,x,x
110,DIN_934_M16_Zn_KL8.par:5,id1867,id1105,x,x,x
111,DIN_934_M16_Zn_KL8.par:6,id1870,id1105,x,x,x
112,DIN_934_M16_Zn_KL8.par:7,id1873,id1105,x,x,x
113,DIN_934_M16_Zn_KL8.par:8,id1876,id1105,x,x,x
114,034P_05.05.00.000S_Banda_5.asm:1,id1879,id1317,034P_05.05.00.000S_Banda_5,assembly,id1363 id1390 id1422 id1426 id1430 id1434 id1438 id1484 id1487 id1491 id1495 id1499 id1503 id1507
115,DIN_7991_M8x35_Zn_KL8.8.par:1,id1948,id1908,x,x,x
116,DIN_125_M16_Zn_HV200.par:9,id1951,id1073,x,x,x
117,DIN_125_M16_Zn_HV200.par:10,id1954,id1073,x,x,x
118,DIN_125_M16_Zn_HV200.par:11,id1957,id1073,x,x,x
119,DIN_125_M16_Zn_HV200.par:12,id1960,id1073,x,x,x
120,DIN_934_M16_Zn_KL8.par:9,id1963,id1105,x,x,x
121,DIN_934_M16_Zn_KL8.par:10,id1966,id1105,x,x,x
122,DIN_934_M16_Zn_KL8.par:11,id1969,id1105,x,x,x
123,DIN_934_M16_Zn_KL8.par:12,id1972,id1105,x,x,x
124,DIN_125_M16_Zn_HV200.par:13,id1975,id1073,x,x,x
125,DIN_125_M16_Zn_HV200.par:14,id1978,id1073,x,x,x
126,DIN_125_M16_Zn_HV200.par:15,id1981,id1073,x,x,x
127,DIN_125_M16_Zn_HV200.par:16,id1984,id1073,x,x,x
128,DIN_934_M16_Zn_KL8.par:13,id1987,id1105,x,x,x
129,DIN_934_M16_Zn_KL8.par:14,id1990,id1105,x,x,x
130,DIN_934_M16_Zn_KL8.par:15,id1993,id1105,x,x,x
131,DIN_934_M16_Zn_KL8.par:16,id1996,id1105,x,x,x
132,DIN_125_M16_Zn_HV200.par:17,id1999,id1073,x,x,x
133,DIN_125_M16_Zn_HV200.par:18,id2002,id1073,x,x,x
134,DIN_125_M16_Zn_HV200.par:19,id2005,id1073,x,x,x
135,DIN_125_M16_Zn_HV200.par:20,id2008,id1073,x,x,x
136,DIN_934_M16_Zn_KL8.par:17,id2011,id1105,x,x,x
137,DIN_934_M16_Zn_KL8.par:18,id2014,id1105,x,x,x
138,DIN_934_M16_Zn_KL8.par:19,id2017,id1105,x,x,x
139,DIN_934_M16_Zn_KL8.par:20,id2020,id1105,x,x,x
140,DIN_125_M16_Zn_HV200.par:21,id2023,id1073,x,x,x
141,DIN_125_M16_Zn_HV200.par:22,id2026,id1073,x,x,x
142,DIN_125_M16_Zn_HV200.par:23,id2029,id1073,x,x,x
143,DIN_125_M16_Zn_HV200.par:24,id2032,id1073,x,x,x
144,DIN_934_M16_Zn_KL8.par:21,id2035,id1105,x,x,x
145,DIN_934_M16_Zn_KL8.par:22,id2038,id1105,x,x,x
146,DIN_934_M16_Zn_KL8.par:23,id2041,id1105,x,x,x
147,DIN_934_M16_Zn_KL8.par:24,id2044,id1105,x,x,x
