,name,id,ref,ref_name,ref_type,asm
982,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:14",id8041,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
983,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:15",id8088,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
984,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:16",id8135,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
985,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:17",id8182,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
986,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:18",id8229,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
987,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:19",id8276,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
988,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:20",id8323,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
989,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:21",id8370,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
990,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:22",id8417,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
991,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:23",id8464,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
992,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:24",id8511,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
993,"034P_00.00.00.001_Lancuch_10B-1x703,88.asm:25",id8558,id4322,"034P_00.00.00.001_Lancuch_10B-1x703,88",assembly,id4375 id4423 id4426 id4429 id4432 id4435 id4438 id4441 id4444 id4447 id4450 id4453 id4456 id4459 id4462 id4465 id4468 id4471 id4474 id4477 id4480 id4483 id4486 id4489 id4492 id4495 id4498 id4501 id4504 id4507 id4510 id4513 id4516 id4519 id4522 id4525 id4528 id4531 id4534 id4537 id4540 id4543 id4546 id4549
994,DIN_933_M8x25_Zn_KL8.8.par:69,id8605,id2234,x,x,x
995,DIN_985_M8_Zn_KL.8.par:34,id8608,id2295,x,x,x
996,DIN_125_M8_Zn_HV200.par:115,id8611,id2199,x,x,x
997,DIN_125_M10_Zn_HV200.par:97,id8614,id2546,x,x,x
998,DIN_127_M10_Zn_HV200.par:93,id8617,id2584,x,x,x
999,DIN_933_M10x25_Zn_KL8.8.par:31,id8620,id5629,x,x,x
1000,DIN_127_M10_Zn_HV200.par:92,id8623,id2584,x,x,x
1001,DIN_125_M10_Zn_HV200.par:96,id8626,id2546,x,x,x
