,mach_id,asm_id,asm_name,par_id,ile,id,name
46,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24836,,id24836,DIN_125_M6_Zn_HV200
47,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24839,,id24839,DIN_127_M6_Zn_HV200
48,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24842,,id24842,DIN_127_M6_Zn_HV200
49,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24845,,id24845,DIN_912_M6x12_Zn_KL8.8
50,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24848,,id24848,032P_00.00.00.001_Wal_napedowy
51,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24851,,id24851,DIN_127_M6_Zn_HV200
52,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24854,,id24854,DIN_912_M6x12_Zn_KL8.8
53,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id24857,,id24857,DIN_125_M6_Zn_HV200
54,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25490,,id25490,Motoreduktor_CHM_90_20_100_B14_B3_CHT_100_L_A4_2.20_Kw_230-400V-50Hz_2_CHT_MVS_DX_PC_SX
55,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25493,,id25493,DIN_127_M6_Zn_HV200
56,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25876,,id25876,032P_00.00.00.003_Kolo_lancuchowe_z_piasta_16B-2_z17
57,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25879,,id25879,DIN_912_M6x12_Zn_KL8.8
58,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25882,,id25882,DIN_125_M6_Zn_HV200
59,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25885,,id25885,DIN_125_M6_Zn_HV200
60,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25888,,id25888,DIN_127_M6_Zn_HV200
61,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25891,,id25891,DIN_127_M6_Zn_HV200
62,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25894,,id25894,DIN_912_M6x12_Zn_KL8.8
63,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25934,,id25934,032P_00.00.00.004_Tulejka_dociskowa_kola
64,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25937,,id25937,DIN_127_M6_Zn_HV200
65,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25940,,id25940,DIN_912_M6x12_Zn_KL8.8
66,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25943,,id25943,DIN_125_M6_Zn_HV200
67,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25946,,id25946,DIN_127_M12_Zn_HV200
68,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id25991,,id25991,DIN_912_M12x30_Zn_KL8.8
69,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26308,,id26308,DIN_125_M6_Zn_HV200
70,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26311,,id26311,DIN_912_M6x12_Zn_KL8.8
71,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26314,,id26314,DIN_125_M6_Zn_HV200
72,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26317,,id26317,DIN_912_M6x12_Zn_KL8.8
73,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26349,,id26349,DIN_9021_M12_Zn_HV200
74,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26352,,id26352,DIN_9021_M12_Zn_HV200
75,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26355,,id26355,DIN_125_M12_Zn_HV200
76,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26358,,id26358,DIN_125_M12_Zn_HV200
77,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26361,,id26361,DIN_127_M12_Zn_HV200
78,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26364,,id26364,DIN_127_M12_Zn_HV200
79,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26367,,id26367,DIN_934_M12_Zn_KL8
80,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26370,,id26370,DIN_934_M12_Zn_KL8
81,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26415,,id26415,DIN_912_M12x40_Zn_KL8.8
82,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26418,,id26418,DIN_912_M12x40_Zn_KL8.8
83,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26421,,id26421,DIN_9021_M12_Zn_HV200
84,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26424,,id26424,DIN_9021_M12_Zn_HV200
85,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26427,,id26427,DIN_912_M12x40_Zn_KL8.8
86,032P,id5,032P_00.00.00.000_Przenosnik_rolkowo_lancuchowy,id26430,,id26430,DIN_125_M12_Zn_HV200
