,machine,name,is_asm
0,024P,024P_06.01.00.007_Blacha,0
1,024P,Profil_40x40x4_S235JR_oa_0,0
2,024P,Profil_40x40x4_S235JR_oa_1,0
3,024P,Profil_40x40x4_S235JR_oa_2,0
4,024P,Profil_40x40x4_S235JR_oa_3,0
5,024P,Profil_40x40x4_S235JR_oa_4,0
6,024P,Profil_40x40x4_S235JR_oa_5,0
7,024P,Profil_40x40x4_S235JR_oa_6,0
8,024P,Profil_40x40x4_S235JR_oa_7,0
9,024P,Profil_40x40x4_S235JR_oa_8,0
10,024P,Profil_40x40x4_S235JR_oa_9,0
11,024P,024P_06.01.00.001_Blacha,0
12,024P,024P_06.01.00.004_Blacha,0
13,024P,Profil_40x40x4_S235JR_oa_10,0
14,024P,Profil_40x40x4_S235JR_oa_11,0
15,024P,Profil_40x40x4_S235JR_oa_12,0
16,024P,Profil_40x40x4_S235JR_oa_13,0
17,024P,Profil_40x40x4_S235JR_oa_14,0
18,024P,Profil_40x40x4_S235JR_oa_15,0
19,024P,Profil_40x40x4_S235JR_oa_16,0
20,024P,Profil_40x40x4_S235JR_oa_17,0
21,024P,Profil_40x40x4_S235JR_oa_18,0
22,024P,Profil_40x40x4_S235JR_oa_19,0
23,024P,Profil_40x40x4_S235JR_oa_20,0
24,024P,Profil_40x40x4_S235JR_oa_21,0
25,024P,Profil_40x40x4_S235JR_oa_22,0
26,024P,Profil_40x40x4_S235JR_oa_23,0
27,024P,Profil_40x40x4_S235JR_oa_24,0
28,024P,Profil_40x40x4_S235JR_oa_25,0
29,024P,Profil_40x40x4_S235JR_oa_26,0
30,024P,Profil_40x40x4_S235JR_oa_27,0
31,024P,Profil_40x40x4_S235JR_oa_28,0
32,024P,Profil_40x40x4_S235JR_oa_29,0
33,024P,Profil_40x40x4_S235JR_oa_30,0
34,024P,026P_01.01.00.008_Blacha,0
35,024P,DIN_6331_M12_CZ_KL10,0
36,024P,Profil_40x40x4_S235JR_oa_31,0
37,024P,Profil_40x40x4_S235JR_oa_32,0
38,024P,Profil_40x40x4_S235JR_oa_33,0
39,024P,Profil_40x40x4_S235JR_oa_34,0
40,024P,Profil_40x40x4_S235JR_oa_35,0
41,024P,024P_06.01.00.003_Blacha_oa_36,0
42,024P,024P_06.01.00.003_Blacha_oa_37,0
43,024P,Profil_40x40x4_S235JR_oa_38,0
