"maszyna","asm_id","zespol","par_id","ilosc","name","biblioteka"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id13",1,"003D_05.19.00.000_Mechanizm_blokowania","003D_05.19.00.000_Mechanizm_blokowania"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id2453",1,"003D_05.01.00.000_Wozek_wysoki","003D_05.01.00.000_Wozek_wysoki"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id6991",1,"003D_05.19.00.000_Mechanizm_blokowania","003D_05.19.00.000_Mechanizm_blokowania"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id7200",1,"003D_05.01.00.000_Wozek_wysoki","003D_05.01.00.000_Wozek_wysoki"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id7358",1,"003D_05.02.00.000_Wozek_niski","003D_05.02.00.000_Wozek_niski"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id8133",1,"003D_05.02.00.000_Wozek_niski","003D_05.02.00.000_Wozek_niski"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id13473",1,"Prowadnik_igus_(pozycja_4)_0_9m_E2_15_30_048_0___E2_150_30_12PZ_A2","Prowadnik_igus_(pozycja_4)_0_9m_E2_15_30_048_0___E2_150_30_12PZ_A2"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id13479",1,"Elektrozawor_(003D_102)","Elektrozawor_(003D_102)"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id13894",1,"Wibroizolator_DVA.4-30-15-M8-20-70","Wibroizolator_DVA.4-30-15-M8-20-70"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id13926",1,"Wkladka_gwintowana_M4_C32-45","Wkladka_gwintowana_M4_C32-45"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id13932",1,"003D_05.20.00.000_Prowadzenie_czujnika","003D_05.20.00.000_Prowadzenie_czujnika"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id15995",1,"003D_05.13.00.000_Mocowanie_odboju","003D_05.13.00.000_Mocowanie_odboju"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id16192",1,"003D_05.00.00.001_Dystans_prowadnika","003D_05.00.00.001_Dystans_prowadnika"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id16198",1,"003D_05.15.00.000_Chwytak_palety","003D_05.15.00.000_Chwytak_palety"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id17761",1,"Szyna_profilowa_HGR15R1450H","Szyna_profilowa_HGR15R1450H"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id17906",1,"003D_05.00.00.0010_Profil_aluminiowy_Kanya_40x120_C01-9","003D_05.00.00.0010_Profil_aluminiowy_Kanya_40x120_C01-9"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id17912",1,"003D_05.03.00.000_Naped","003D_05.03.00.000_Naped"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id21679",1,"003D_05.04.00.000_Slizg_prowadnika","003D_05.04.00.000_Slizg_prowadnika"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id21755",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id21761",1,"003D_05.05.00.000_Czujnik_docisku","003D_05.05.00.000_Czujnik_docisku"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id22306",1,"Wkladka_gwintowa_AN343_M12_M16x1.5","Wkladka_gwintowa_AN343_M12_M16x1.5"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id22351",1,"DIN_912_M12x35_Zn_KL8.8","DIN_912_M12x35_Zn_KL8.8"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id22387",1,"DIN_127_M12_Zn_HV200","DIN_127_M12_Zn_HV200"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id22419",1,"DIN_125_M12_Zn_HV200","DIN_125_M12_Zn_HV200"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id22422",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id22425",1,"DIN_125_M12_Zn_HV200","DIN_125_M12_Zn_HV200"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id22428",1,"DIN_127_M12_Zn_HV200","DIN_127_M12_Zn_HV200"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id22431",1,"DIN_125_M12_Zn_HV200","DIN_125_M12_Zn_HV200"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id22434",1,"DIN_912_M12x35_Zn_KL8.8","DIN_912_M12x35_Zn_KL8.8"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id22437",1,"DIN_127_M12_Zn_HV200","DIN_127_M12_Zn_HV200"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id22443",1,"003D_05.06.00.000_Mocowanie_prowadnika_stale","003D_05.06.00.000_Mocowanie_prowadnika_stale"
"003D","id5","003D_05.00.00.000_Chwytak_welny_id5","id22641",1,"DIN_912_M12x35_Zn_KL8.8","DIN_912_M12x35_Zn_KL8.8"
