"maszyna","asm_id","zespol","par_id","ilosc","name","biblioteka"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id13",1,"024P_06.00.00.000_Rama","024P_06.00.00.000_Rama"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id9841",1,"024P_07.00.00.000_Mocowanie","024P_07.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id9947",1,"024P_07.00.00.000_Mocowanie","024P_07.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id9954",1,"024P_07.00.00.000_Mocowanie","024P_07.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id10009",1,"024P_00.00.00.001_Blacha","024P_00.00.00.001_Blacha"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id10013",1,"024P_00.00.00.001_Blacha","024P_00.00.00.001_Blacha"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id10020",1,"024P_01.00.00.000_Transporter","024P_01.00.00.000_Transporter"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id16683",1,"024P_07.00.00.000_Mocowanie","024P_07.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id16690",1,"024P_07.00.00.000_Mocowanie","024P_07.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id16700",1,"024P_05.00.00.000_Transporter","024P_05.00.00.000_Transporter"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id17770",1,"024P_07.00.00.000_Mocowanie","024P_07.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id17777",1,"024P_07.00.00.000_Mocowanie","024P_07.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id17784",1,"024P_07.00.00.000_Mocowanie","024P_07.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id17791",1,"024P_07.00.00.000_Mocowanie","024P_07.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id17798",1,"024P_07.00.00.000_Mocowanie","024P_07.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id17808",1,"024P_15.00.00.000_Transporter","024P_15.00.00.000_Transporter"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id23116",1,"024P_02.00.00.000_Transporter","024P_02.00.00.000_Transporter"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id25782",1,"024P_00.00.00.001_Blacha","024P_00.00.00.001_Blacha"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id25789",1,"024P_03.00.00.000_Transporter","024P_03.00.00.000_Transporter"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id28099",1,"024P_00.00.00.001_Blacha","024P_00.00.00.001_Blacha"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id28103",1,"024P_00.00.00.001_Blacha","024P_00.00.00.001_Blacha"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id28107",1,"024P_00.00.00.001_Blacha","024P_00.00.00.001_Blacha"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id28111",1,"024P_00.00.00.001_Blacha","024P_00.00.00.001_Blacha"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id28118",1,"024P_17.00.00.000_Zespol_napedowy","024P_17.00.00.000_Zespol_napedowy"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id29415",1,"024P_07.00.00.000_Mocowanie","024P_07.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id29425",1,"024P_04.00.00.000_Transporter","024P_04.00.00.000_Transporter"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id31372",1,"024P_00.00.00.002_Kolo_lancuchowe_z_piasta_08B-1_z12","024P_00.00.00.002_Kolo_lancuchowe_z_piasta_08B-1_z12"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id31378",1,"024P_12.00.00.000_Mocowanie","024P_12.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id32071",1,"Motoreduktor_CHM_30_5_63_B14_V6_CHT_63_C4_0.22_Kw_230-400V-50Hz_1_CHT_MVS_DX_PC_SX","Motoreduktor_CHM_30_5_63_B14_V6_CHT_63_C4_0.22_Kw_230-400V-50Hz_1_CHT_MVS_DX_PC_SX"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id32074",1,"DIN_125_M6_Zn_HV200","DIN_125_M6_Zn_HV200"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id32080",1,"024P_09.00.00.000_Zespol_napedowy","024P_09.00.00.000_Zespol_napedowy"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id32496",1,"DIN_934_M8_Zn_KL8","DIN_934_M8_Zn_KL8"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id32502",1,"024P_10.00.00.000_Zespol_napedowy","024P_10.00.00.000_Zespol_napedowy"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id32943",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id32949",1,"024P_14.00.00.000_Bandy","024P_14.00.00.000_Bandy"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id37280",1,"024P_13.00.00.000_Zespol_napedowy","024P_13.00.00.000_Zespol_napedowy"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id37402",1,"024P_13.00.00.000_Zespol_napedowy","024P_13.00.00.000_Zespol_napedowy"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id37432",1,"024P_13.00.00.000_Zespol_napedowy","024P_13.00.00.000_Zespol_napedowy"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id37462",1,"024P_13.00.00.000_Zespol_napedowy","024P_13.00.00.000_Zespol_napedowy"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id37495",1,"024P_16.00.00.000_Transporter","024P_16.00.00.000_Transporter"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id39436",1,"024P_16.00.00.000_Transporter","024P_16.00.00.000_Transporter"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id39886",1,"024P_16.00.00.000_Transporter","024P_16.00.00.000_Transporter"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id40425",1,"024P_00.00.00.003_Blacha","024P_00.00.00.003_Blacha"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id40429",1,"024P_15.00.00.000_Transporter","024P_15.00.00.000_Transporter"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id41160",1,"024P_00.00.00.004_Lancuch_08B-1_L=533,4mm","024P_00.00.00.004_Lancuch_08B-1_L=533,4mm"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id41292",1,"024P_00.00.00.005_Lancuch_08B-1_L=596,9mm","024P_00.00.00.005_Lancuch_08B-1_L=596,9mm"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id41498",1,"024P_00.00.00.005_Lancuch_08B-1_L=596,9mm","024P_00.00.00.005_Lancuch_08B-1_L=596,9mm"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id41548",1,"024P_00.00.00.005_Lancuch_08B-1_L=596,9mm","024P_00.00.00.005_Lancuch_08B-1_L=596,9mm"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id41598",1,"024P_00.00.00.005_Lancuch_08B-1_L=596,9mm","024P_00.00.00.005_Lancuch_08B-1_L=596,9mm"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id41648",1,"024P_12.00.00.000_Mocowanie","024P_12.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id41655",1,"024P_12.00.00.000_Mocowanie","024P_12.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id41662",1,"DIN_934_M8_Zn_KL8","DIN_934_M8_Zn_KL8"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id41668",1,"024P_08.00.00.000_Mocowanie","024P_08.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id41778",1,"024P_08.00.00.000_Mocowanie","024P_08.00.00.000_Mocowanie"
"024P","id5","024P_00.00.00.000_Przenosnik_id5","id41785",1,"024P_08.00.00.000_Mocowanie","024P_08.00.00.000_Mocowanie"
