"maszyna","asm_id","zespol","par_id","ilosc","name","biblioteka"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id13",1,"022P_01.00.00.000_Rama","022P_01.00.00.000_Rama"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id9867",1,"Zespol_lozyskowy_UCFL_205","Zespol_lozyskowy_UCFL_205"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id10259",1,"Czujnik_fotoelektryczny_WTB16P-24161120A00","Czujnik_fotoelektryczny_WTB16P-24161120A00"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id10262",1,"Zespol_lozyskowy_UCFL_205","Zespol_lozyskowy_UCFL_205"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id10317",1,"022P_00.00.00.001_Wal","022P_00.00.00.001_Wal"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id10323",1,"022P_03.00.00.000M_Blokada_chowana","022P_03.00.00.000M_Blokada_chowana"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id14017",1,"022P_00.00.00.004_Pas_zebaty_T10x50_H6,5_Twardy_PU_505Z_L=5050_Bez_Fazy","022P_00.00.00.004_Pas_zebaty_T10x50_H6,5_Twardy_PU_505Z_L=5050_Bez_Fazy"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id14023",1,"022P.05.00.00.000M_Zespol_pozycji_do_kleju","022P.05.00.00.000M_Zespol_pozycji_do_kleju"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id19688",1,"022P_00.00.00.001_Wal","022P_00.00.00.001_Wal"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id19691",1,"022P_00.00.00.001_Wal","022P_00.00.00.001_Wal"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id19774",1,"022P_00.00.00.017_Blacha","022P_00.00.00.017_Blacha"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id19780",1,"022P_06.00.00.000M_Zespol_pozycji_do_robota","022P_06.00.00.000M_Zespol_pozycji_do_robota"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id20994",1,"022P_00.00.00.017_Blacha","022P_00.00.00.017_Blacha"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id21046",1,"022P_00.00.00.002_Wal","022P_00.00.00.002_Wal"
"022P","id5","022P_00.00.00.000_Przenosnik_klejacy_id5","id21052",1,"022P_14.00.00.000_Kanya_40x80_C01-3","022P_14.00.00.000_Kanya_40x80_C01-3"
