,machine,name,is_asm
0,026P,026P_01.01.00.003_Blacha,0
1,026P,Profil_40x40x3_S235JR_oa_0,0
2,026P,Profil_40x40x3_S235JR_oa_1,0
3,026P,Profil_40x40x3_S235JR_oa_2,0
4,026P,Profil_40x40x3_S235JR_oa_3,0
5,026P,Profil_40x40x3_S235JR_oa_4,0
6,026P,Profil_40x40x3_S235JR_oa_5,0
7,026P,Profil_40x40x3_S235JR_oa_6,0
8,026P,Profil_40x40x3_S235JR_oa_7,0
9,026P,Profil_40x40x3_S235JR_oa_8,0
10,026P,Profil_40x40x3_S235JR_oa_9,0
11,026P,Profil_40x40x3_S235JR_oa_10,0
12,026P,Profil_40x40x3_S235JR_oa_11,0
13,026P,004P_01.01.00.001_Blacha,0
14,026P,026P_01.01.00.008_Blacha,0
15,026P,DIN_6331_M12_CZ_KL10,0
16,026P,Profil_40x40x3_S235JR_oa_12,0
17,026P,Profil_40x40x3_S235JR_oa_13,0
18,026P,Profil_40x40x3_S235JR_oa_14,0
19,026P,Profil_40x40x3_S235JR_oa_15,0
20,026P,026P_01.01.00.001_Blacha,0
21,026P,Profil_40x40x3_S235JR_oa_16,0
22,026P,026P_01.01.00.011_Blacha,0
23,026P,Profil_40x40x3_S235JR_oa_17,0
24,026P,Profil_40x40x3_S235JR_oa_18,0
25,026P,Profil_40x40x3_S235JR_oa_19,0
26,026P,Profil_40x40x3_S235JR_oa_20,0
27,026P,Profil_40x40x3_S235JR_oa_21,0
28,026P,Profil_40x40x3_S235JR_oa_22,0
29,026P,Profil_40x40x3_S235JR_oa_23,0
30,026P,Profil_40x40x3_S235JR_oa_24,0
31,026P,026P_01.01.00.002_Blacha,0
32,026P,026P_01.01.00.009_Blacha,0
33,026P,026P_01.01.00.010_Blacha,0
34,026P,Profil_40x40x3_S235JR_oa_25,0
35,026P,026P_01.01.00.005_Blacha,0
36,026P,Profil_40x40x3_S235JR_oa_26,0
37,026P,Profil_40x40x3_S235JR_oa_27,0
38,026P,Profil_40x40x3_S235JR_oa_28,0
39,026P,Profil_40x40x3_S235JR_oa_29,0
40,026P,Profil_30x30x3_S235JR_oa_30,0
41,026P,Profil_30x30x3_S235JR_oa_31,0
42,026P,Profil_40x40x3_S235JR_oa_32,0
43,026P,Profil_40x40x3_S235JR_oa_33,0
44,026P,Profil_40x40x3_S235JR_oa_34,0
45,026P,Profil_30x30x3_S235JR_oa_35,0
46,026P,Profil_30x30x3_S235JR_oa_36,0
47,026P,Profil_40x40x3_S235JR_oa_37,0
48,026P,Profil_40x40x3_S235JR_oa_38,0
49,026P,Profil_40x40x3_S235JR_oa_39,0
50,026P,Profil_40x40x3_S235JR_oa_40,0
51,026P,Profil_40x40x3_S235JR_oa_41,0
52,026P,Profil_40x40x3_S235JR_oa_42,0
53,026P,Profil_40x40x3_S235JR_oa_43,0
54,026P,026P_01.01.00.006_Blacha,0
55,026P,Profil_40x40x3_S235JR_oa_44,0
56,026P,026P_01.01.00.004_Blacha,0
57,026P,Profil_40x40x3_S235JR_oa_45,0
58,026P,Profil_40x40x3_S235JR_oa_46,0
59,026P,Profil_40x40x3_S235JR_oa_47,0
60,026P,Profil_40x40x3_S235JR_oa_48,0
61,026P,Profil_40x40x3_S235JR_oa_49,0
62,026P,Profil_40x40x3_S235JR_oa_50,0
63,026P,Profil_40x40x3_S235JR_oa_51,0
64,026P,026P_01.01.00.007_Tulejka,0
65,026P,DIN_6331_M8_CZ_KL10,0
66,026P,Profil_40x40x3_S235JR_oa_52,0
67,026P,Profil_40x40x3_S235JR_oa_53,0
68,026P,Profil_40x40x3_S235JR_oa_54,0
69,026P,Profil_40x40x3_S235JR_oa_55,0
70,026P,Profil_40x40x3_S235JR_oa_56,0
71,026P,Profil_40x40x3_S235JR_oa_57,0
72,026P,Profil_40x40x3_S235JR_oa_58,0
73,026P,DIN_934_M12_Zn_KL8,0
74,026P,DIN_125_M8_Zn_HV200,0
75,026P,DIN_912_M5x16_Zn_KL8.8,0
76,026P,DIN_934_M5_Zn_KL8,0
77,026P,DIN_127_M5_Zn_HV200,0
78,026P,DIN_125_M5_Zn_HV200,0
79,026P,026P_01.00.00.002__Kolo_27_AT5_44_do pasa_zebatego_16mm,0
80,026P,Stopa_wahliwa_LV.FO-60-14-M12x98,0
81,026P,DIN_127_M8_Zn_HV200,0
82,026P,DIN_912_M6x12_Zn_KL8.8,0
83,026P,6058 LBN-12_16---(L),0
84,026P,"369446 BZ-06-019,0-AA (25)",0
85,026P,209578 6 SXN 08 VERZINKT_SL,0
86,026P,DIN_912_M8x30_Zn_KL8.8,0
87,026P,DIN_125_M6_Zn_HV200,0
88,026P,DIN_127_M6_Zn_HV200,0
89,026P,Pas_Breco-M_AT5_PAZ classic_2480x16mm_polaczony_termicznie,0
90,026P,DIN_934_M8_Zn_KL8,0
91,026P,026P_01.02.00.001_Blacha,0
92,026P,026P_01.02.00.002_Blacha,0
93,026P,026P_01.03.00.001_Blacha,0
94,026P,026P_01.03.00.002_Blacha,0
95,026P,DIN_933_M8x25_Zn_KL8.8,0
96,026P,Tuleja_zaciskowa_BK61_14x26,0
97,026P,Walek_liniowy_z_podpora_PW16_L1000,0
98,026P,DIN_6885_A_5x5x45,0
99,026P,Profil_50x30x3_S235JR_oa_59,0
100,026P,026P_06.01.00.001_Blacha,0
101,026P,026P_05.01.00.002_Blacha,0
102,026P,026P_05.01.00.004_Blacha,0
103,026P,026P_05.01.00.006_Blacha,0
104,026P,026P_05.01.00.005_Blacha,0
105,026P,026P_05.01.00.003_Blacha,0
106,026P,026P_06.01.00.002_Blacha_oa_60,0
107,026P,026P_06.01.00.002_Blacha_oa_61,0
108,026P,026P_06.01.00.002_Blacha_oa_62,0
109,026P,026P_06.01.00.003_Blacha_oa_63,0
110,026P,F 204_Y-h,0
111,026P,1_4-28 UNF,0
112,026P,UC 204-bearing,0
113,026P,20-47-31-15-ucf--7_938-34_5,0
114,026P,DIN_934_M10_Zn_KL8,0
115,026P,DIN_125_M12_Zn_HV200,0
116,026P,DIN_125_M10_Zn_HV200,0
117,026P,DIN_912_M12x25_Zn_KL8.8,0
