"maszyna","asm_id","zespol","par_id","ilosc","name","biblioteka"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id13",1,"036P_02.00.00.000_Modul_lancuchowy_staly","036P_02.00.00.000_Modul_lancuchowy_staly"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id4086",1,"DIN_934_M10_Zn_KL8","DIN_934_M10_Zn_KL8"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id4092",1,"036P_03.00.00.000_Oprawa_dzielona_fi30","036P_03.00.00.000_Oprawa_dzielona_fi30"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id4353",1,"036P_01.00.00.000M_Modul_lancuchowy_podnoszony","036P_01.00.00.000M_Modul_lancuchowy_podnoszony"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id5176",1,"036P_01.00.00.000_Modul_lancuchowy_podnoszony","036P_01.00.00.000_Modul_lancuchowy_podnoszony"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id5530",1,"DIN_933_M10x90_Zn_KL8.8","DIN_933_M10x90_Zn_KL8.8"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id5536",1,"036P_04.00.00.000_Wal_podnoszacy","036P_04.00.00.000_Wal_podnoszacy"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id5715",1,"DIN_9021_M8_Zn_HV200","DIN_9021_M8_Zn_HV200"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id5718",1,"036P_01.00.00.000M_Modul_lancuchowy_podnoszony","036P_01.00.00.000M_Modul_lancuchowy_podnoszony"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id5876",1,"DIN_125_M16_Zn_HV200","DIN_125_M16_Zn_HV200"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id5922",1,"683677 SBN-50_63---(R)","683677 SBN-50_63---(R)"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id5925",1,"036P_01.00.00.006_Tulejka_21,3x2,6x14","036P_01.00.00.006_Tulejka_21,3x2,6x14"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id5931",1,"Glowica_przegubowa_9263 SGS-M16x1,5","Glowica_przegubowa_9263 SGS-M16x1,5"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6072",1,"DIN_912_M8x25_Zn_KL8.8","DIN_912_M8x25_Zn_KL8.8"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6171",1,"Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D","Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6174",1,"DIN_985_M16_Zn_KL8","DIN_985_M16_Zn_KL8"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6206",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6209",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6260",1,"DIN_985_M8_Zn_KL.8","DIN_985_M8_Zn_KL.8"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6263",1,"DIN_985_M8_Zn_KL.8","DIN_985_M8_Zn_KL.8"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6266",1,"Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D","Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6269",1,"DIN_985_M8_Zn_KL.8","DIN_985_M8_Zn_KL.8"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6272",1,"DIN_931_M16x100_Zn_KL8.8","DIN_931_M16x100_Zn_KL8.8"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6275",1,"DIN_912_M8x25_Zn_KL8.8","DIN_912_M8x25_Zn_KL8.8"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6278",1,"DIN_931_M16x100_Zn_KL8.8","DIN_931_M16x100_Zn_KL8.8"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6281",1,"DIN_985_M16_Zn_KL8","DIN_985_M16_Zn_KL8"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6284",1,"DIN_125_M16_Zn_HV200","DIN_125_M16_Zn_HV200"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6287",1,"DIN_125_M16_Zn_HV200","DIN_125_M16_Zn_HV200"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6290",1,"Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D","Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6293",1,"Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D","Zawor_dlawiaco-zwrotny_GRLA-1_4-QS-8-D"
"036P","id5","036P_00.00.00.000_Przenosnik_lancuchowy_id5","id6296",1,"DIN_912_M8x25_Zn_KL8.8","DIN_912_M8x25_Zn_KL8.8"
