,machine,name,is_asm
0,003D,003D_05.19.01.001_Blacha,0
1,003D,003D_05.19.01.002_Oś,0
2,003D,Profil_30x20x3_S235JR_oa_0,0
3,003D,003D_05.19.02.001_Blacha_gwintowana,0
4,003D,DIN_125_M16_Zn_HV200,0
5,003D,003D_05.19.03.001_Ramie,0
6,003D,003D_05.19.03.002_Tuleja_srodkowa,0
7,003D,003D_05.19.03.004_Tuleja_gorna,0
8,003D,003D_05.19.03.005_Zebro,0
9,003D,003D_05.19.03.005M_Zebro,0
10,003D,Tuleja_JFM_1618_12,0
11,003D,Tuleja_JSM_1014_10,0
12,003D,Wkladka _gwintowana_M6_C32-65,0
13,003D,DIN_471_Z16x1_Zn,0
14,003D,1908317 DSNU-25-60-PPV---(A----0-ZR),0
15,003D,DIN-439-B - M22x1_5(F),0
16,003D,1908317 DSNU-25-60-PPV---(A---00--0-KS),0
17,003D,DIN-439-B - M10x1_25(F),0
18,003D,"6144 SG-M10x1,25---(GK)",0
20,003D,200063 FKB-10X20,0
21,003D,003D_05.19.04.001M_Blacha,0
22,003D,003D_05.19.04.002M_Zebro,0
23,003D,003D_05.19.04.001_Blacha,0
24,003D,003D_05.19.04.002_Zebro,0
25,003D,6059 LBN-20_25---(L),0
26,003D,"369456 BZ-08-025,0-AA (32)",0
27,003D,210028 8 SXN 08 VERZINKT_SL,0
28,003D,DIN_125_M6_Zn_HV200,0
29,003D,DIN_127_M6_Zn_HV200,0
30,003D,DIN_7984_M6x18_Zn_KL8.8,0
31,003D,DIN_985_M6_Zn_KL8,0
32,003D,Podkladka_Schnorr_S6_Zn,0
33,003D,DIN_7984_M6x20_Zn_KL8.8,0
34,003D,Mocowanie_czujnika_SMBR-8-25,0
35,003D,Zawor_dlawiaco-zwrotny_GRLA-1_8-QS-6-D,0
36,003D,DIN_912_M8x16_Zn_KL8.8,0
37,003D,Czujnik_polozenia_W095411,0
38,003D,Podkladka_Schnorr_S8_Zn,0
39,003D,DIN_912_M4x12_Zn_KL8.8,0
40,003D,003D_05.01.03.001_Blacha_oa_3,0
41,003D,003D_05.01.03.002_Blacha,0
42,003D,003D_05.01.03.003_Blacha_oa_4,0
43,003D,DIN_439_M6_Zn,0
44,003D,003D_05.01.03.004_Sygnalizator,0
45,003D,Podkladka_Schnorr_S4_Zn,0
46,003D,Zlaczka_wtykowa_QSML-M5-4,0
