"maszyna","asm_id","zespol","par_id","ilosc","name","biblioteka"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id13",1,"026P_01.00.00.000_Rama","026P_01.00.00.000_Rama"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id9946",1,"026P_02.00.00.000_Transporter","026P_02.00.00.000_Transporter"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id15141",1,"026P_03.00.00.000_Modul_klejowy","026P_03.00.00.000_Modul_klejowy"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id19265",1,"026P_04.00.00.000_Zderzak","026P_04.00.00.000_Zderzak"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id20748",1,"Trojnik_Y_RL23-12-12","Trojnik_Y_RL23-12-12"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id20800",1,"026P_00.00.00.004_Walek","026P_00.00.00.004_Walek"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id20806",1,"026P_19.00.00.000_Zacisk","026P_19.00.00.000_Zacisk"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id21126",1,"DIN_125_M10_Zn_HV200","DIN_125_M10_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id21154",1,"Mufa_mosiezna_3_4","Mufa_mosiezna_3_4"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id21160",1,"Silownik_19191 DSNU-12-40-P-A","Silownik_19191 DSNU-12-40-P-A"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id21400",1,"026P_00.00.00.007_Slizg","026P_00.00.00.007_Slizg"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id21498",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id21504",1,"026P_17.00.00.000_Banda","026P_17.00.00.000_Banda"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id21649",1,"026P_00.00.00.002_Tulejka","026P_00.00.00.002_Tulejka"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id21653",1,"DIN_125_M6_Zn_HV200","DIN_125_M6_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id21858",1,"026P_00.00.00.005_Plytka_mocujaca_16AT5_typ_B_35x65","026P_00.00.00.005_Plytka_mocujaca_16AT5_typ_B_35x65"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id21864",1,"026P_11.00.00.000_Belka","026P_11.00.00.000_Belka"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22001",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22004",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22007",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22010",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22013",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22016",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22068",1,"026P_00.00.00.003_Walek","026P_00.00.00.003_Walek"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22071",1,"026P_17.00.00.000_Banda","026P_17.00.00.000_Banda"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22082",1,"026P_00.00.00.003_Walek","026P_00.00.00.003_Walek"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22085",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22088",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22091",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22094",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22097",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22100",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22103",1,"026P_17.00.00.000_Banda","026P_17.00.00.000_Banda"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22114",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22117",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22120",1,"026P_17.00.00.000_Banda","026P_17.00.00.000_Banda"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22134",1,"Glowica_przegubowa_9254 SGS-M6","Glowica_przegubowa_9254 SGS-M6"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22215",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22218",1,"026P_19.00.00.000_Zacisk","026P_19.00.00.000_Zacisk"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22268",1,"026P_17.00.00.000_Banda","026P_17.00.00.000_Banda"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22279",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22282",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22285",1,"026P_19.00.00.000_Zacisk","026P_19.00.00.000_Zacisk"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22335",1,"026P_19.00.00.000_Zacisk","026P_19.00.00.000_Zacisk"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22385",1,"026P_19.00.00.000_Zacisk","026P_19.00.00.000_Zacisk"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22435",1,"026P_19.00.00.000_Zacisk","026P_19.00.00.000_Zacisk"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22485",1,"Glowica_przegubowa_9254 SGS-M6","Glowica_przegubowa_9254 SGS-M6"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22490",1,"Glowica_przegubowa_9254 SGS-M6","Glowica_przegubowa_9254 SGS-M6"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22495",1,"Glowica_przegubowa_9254 SGS-M6","Glowica_przegubowa_9254 SGS-M6"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22500",1,"Glowica_przegubowa_9254 SGS-M6","Glowica_przegubowa_9254 SGS-M6"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22508",1,"Silownik_19191 DSNU-12-40-P-A","Silownik_19191 DSNU-12-40-P-A"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22523",1,"Silownik_19191 DSNU-12-40-P-A","Silownik_19191 DSNU-12-40-P-A"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22591",1,"Polsrubunek_mosiezny_3_4x1","Polsrubunek_mosiezny_3_4x1"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22597",1,"Silownik_19191 DSNU-12-40-P-A","Silownik_19191 DSNU-12-40-P-A"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22609",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22615",1,"Silownik_19191 DSNU-12-40-P-A","Silownik_19191 DSNU-12-40-P-A"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22627",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22630",1,"Glowica_przegubowa_9254 SGS-M6","Glowica_przegubowa_9254 SGS-M6"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22635",1,"026P_19.00.00.000_Zacisk","026P_19.00.00.000_Zacisk"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22688",1,"Silownik_19191 DSNU-12-40-P-A","Silownik_19191 DSNU-12-40-P-A"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22700",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22703",1,"Polsrubunek_mosiezny_3_4x1","Polsrubunek_mosiezny_3_4x1"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22706",1,"Mufa_mosiezna_3_4","Mufa_mosiezna_3_4"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22709",1,"Glowica_przegubowa_9254 SGS-M6","Glowica_przegubowa_9254 SGS-M6"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22766",1,"Zlaczka_prosta_R1_GZ_M12x1.5-12","Zlaczka_prosta_R1_GZ_M12x1.5-12"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22769",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22772",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22775",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22781",1,"026P_18.00.00.000_Bamda","026P_18.00.00.000_Bamda"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22880",1,"Wspornik_koncowy_walu_SK25","Wspornik_koncowy_walu_SK25"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22883",1,"026P_18.00.00.000_Bamda","026P_18.00.00.000_Bamda"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id22894",1,"026P_00.00.00.004_Walek","026P_00.00.00.004_Walek"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id23208",1,"Opaska_stlowa_slimakowa_W1_25-40mm","Opaska_stlowa_slimakowa_W1_25-40mm"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id23214",1,"Silownik_19191 DSNU-12-40-P-A","Silownik_19191 DSNU-12-40-P-A"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id23229",1,"026P_08.00.00.000_Ociekacz","026P_08.00.00.000_Ociekacz"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id23643",1,"DIN_127_M8_Zn_HV200","DIN_127_M8_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id23646",1,"DIN_934_M10_Zn_KL8","DIN_934_M10_Zn_KL8"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id23649",1,"DIN_933_M8x25_Zn_KL8.8","DIN_933_M8x25_Zn_KL8.8"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id23652",1,"DIN_125_M10_Zn_HV200","DIN_125_M10_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id23655",1,"DIN_933_M8x25_Zn_KL8.8","DIN_933_M8x25_Zn_KL8.8"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id23706",1,"Krociec_do_weza_mosiezny_Gz3_4x10","Krociec_do_weza_mosiezny_Gz3_4x10"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id23709",1,"DIN_127_M8_Zn_HV200","DIN_127_M8_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24028",1,"Opaska_stlowa_slimakowa_W1_12-19mm","Opaska_stlowa_slimakowa_W1_12-19mm"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24031",1,"DIN_125_M10_Zn_HV200","DIN_125_M10_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24034",1,"DIN_933_M8x25_Zn_KL8.8","DIN_933_M8x25_Zn_KL8.8"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24037",1,"DIN_933_M8x25_Zn_KL8.8","DIN_933_M8x25_Zn_KL8.8"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24040",1,"DIN_125_M10_Zn_HV200","DIN_125_M10_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24046",1,"026P_07.00.00.000_Ociekacz","026P_07.00.00.000_Ociekacz"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24290",1,"DIN_934_M10_Zn_KL8","DIN_934_M10_Zn_KL8"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24293",1,"DIN_125_M10_Zn_HV200","DIN_125_M10_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24296",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24299",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24302",1,"DIN_127_M8_Zn_HV200","DIN_127_M8_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24305",1,"DIN_934_M10_Zn_KL8","DIN_934_M10_Zn_KL8"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24308",1,"DIN_934_M10_Zn_KL8","DIN_934_M10_Zn_KL8"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24311",1,"DIN_127_M8_Zn_HV200","DIN_127_M8_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24358",1,"Krociec_do_weza_mosiezny_Gz3_4x20","Krociec_do_weza_mosiezny_Gz3_4x20"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24361",1,"DIN_125_M8_Zn_HV200","DIN_125_M8_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24419",1,"DIN_933_M6x30_Zn_KL8.8","DIN_933_M6x30_Zn_KL8.8"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24422",1,"DIN_127_M6_Zn_HV200","DIN_127_M6_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24425",1,"DIN_125_M6_Zn_HV200","DIN_125_M6_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24483",1,"DIN_933_M10x30_Zn_KL8.8","DIN_933_M10x30_Zn_KL8.8"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24519",1,"DIN_127_M10_Zn_HV200","DIN_127_M10_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24522",1,"DIN_125_M10_Zn_HV200","DIN_125_M10_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24525",1,"DIN_933_M10x30_Zn_KL8.8","DIN_933_M10x30_Zn_KL8.8"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24528",1,"DIN_127_M10_Zn_HV200","DIN_127_M10_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24531",1,"DIN_125_M10_Zn_HV200","DIN_125_M10_Zn_HV200"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24534",1,"DIN_933_M10x30_Zn_KL8.8","DIN_933_M10x30_Zn_KL8.8"
"026P","id5","026P_00.00.00.000_Przenosnik_id5","id24537",1,"DIN_127_M10_Zn_HV200","DIN_127_M10_Zn_HV200"
